1095.00000020.12  13.26437420.12  6.70045420.12  3.14683420.12  -2.22195920.12  -9.82919020.12  
1042.89473720.12  0.78804320.12  0.06194420.12  -1.10523120.12  -2.22048920.12  -10.44843020.12  
990.78947420.12  2.81205320.12  2.05924720.12  -1.94087420.12  -2.21943020.12  -10.47988920.12  
938.68421120.12  1.96084320.12  1.37363420.12  -1.99393220.12  -2.22245120.12  -10.66615420.12  
886.57894720.12  2.97050020.12  2.73595720.12  -2.08467420.12  -2.22092420.12  -12.01876920.12  
834.47368420.12  5.04184320.12  2.10990120.12  -1.10523720.12  -2.21558520.12  -12.13155120.12  
782.36842120.12  1.47845620.12  0.74149320.12  -1.92022320.12  -2.22061620.12  -13.32678020.12  
730.26315820.12  4.88760920.12  2.69018620.12  -1.98003320.12  -2.21680820.12  -14.28969520.12  
678.15789520.12  0.24027320.12  -0.49599820.12  -1.98132520.12  -2.21827220.12  -15.17864220.12  
626.05263220.12  0.63789220.12  -1.13699820.12  -2.08659720.12  -2.22482820.12  -16.53895420.12  
573.94736820.12  1.38118320.12  -0.21709920.12  -1.99762420.12  -2.23546920.12  -18.00758120.12  
521.84210520.12  1.01542320.12  -1.13176920.12  -2.06263820.12  -2.24720920.12  -19.77723020.12  
469.73684220.12  1.48549220.12  -0.64554220.12  -1.93391720.12  -2.26704020.12  -21.93128420.12  
417.63157920.12  0.65331620.12  -0.88238520.12  -1.85544620.12  -2.28953220.12  -24.60038820.12  
365.52631620.12  1.17360420.12  -0.60401920.12  -1.94180920.12  -2.32908720.12  -27.70567820.12  
313.42105320.12  2.55770620.12  -0.39206720.12  -1.93345120.12  -2.37415120.12  -31.66986120.12  
261.31578920.12  1.37656020.12  -0.15921520.12  -1.84963520.12  -2.42897220.12  -36.41833020.12  
209.21052620.12  5.09677520.12  3.28128620.12  -0.98375120.12  -2.49693220.12  -42.37195520.12  
157.10526320.12  2.75217620.12  -0.10843620.12  -1.79935320.12  -2.58303520.12  -49.60950020.12  
105.00000020.12  0.60075720.12  -1.00209520.12  -2.06725020.12  -2.68781720.12  -58.35469720.12  
93.94736820.12  0.88408520.12  0.08993920.12  -2.22057320.12  -2.53879820.12  -60.12144920.12  
82.89473720.12  1.64447420.12  0.18501520.12  -2.22244520.12  -2.60467420.12  -61.00959820.12  
71.84210520.12  0.62851420.12  -0.70927820.12  -2.22103320.12  -2.65851820.12  -62.96117520.12  
60.78947420.12  3.97529220.12  3.39389920.12  -2.22054220.12  -2.39793820.12  -67.16010520.12  
49.73684220.12  0.27046620.12  -1.53003320.12  -2.20511020.12  -2.75422920.12  -69.10870120.12  
38.68421120.12  2.21101720.12  -0.94174320.12  -2.22003320.12  -2.76748820.12  -70.78654220.12  
27.63157920.12  2.84115020.12  -2.09925920.12  -2.21834320.12  -2.64679920.12  -74.66523320.12  
16.57894720.12  1.88738920.12  -0.50037320.12  -2.21966720.12  -2.76490020.12  -77.51431120.12  
5.52631620.12  1.83894820.12  -1.48131720.12  -2.22099720.12  -2.83566020.12  -80.10772820.12  
-5.52631620.12  2.46217820.12  -2.10061020.12  -2.21567420.12  -2.83266220.12  -81.79083420.12  
-16.57894720.12  2.22568020.12  -0.65290720.12  -2.22026720.12  -2.92487720.12  -86.12887920.12  
-27.63157920.12  2.59824920.12  1.39401920.12  -2.21685320.12  -2.63860220.12  -89.30660620.12  
-38.68421120.12  1.05987220.12  -1.11703320.12  -2.21736820.12  -3.00667120.12  -92.52388320.12  
-49.73684220.12  2.26181020.12  -0.21556020.12  -2.22254920.12  -2.85436120.12  -94.85756520.12  
-60.78947420.12  0.76078220.12  -0.30935720.12  -2.21946620.12  -2.93019320.12  -99.58510620.12  
-71.84210520.12  1.85505020.12  -0.05696820.12  -2.22068520.12  -2.91851320.12  -103.10956720.12  
-82.89473720.12  0.91329220.12  0.17595220.12  -2.22281820.12  -2.83222220.12  -106.49450320.12  
-93.94736820.12  0.63014320.12  -1.51832420.12  -2.22277320.12  -3.11104720.12  -109.29688720.12  
-105.00000020.12  2.35628020.12  -1.80627920.12  -2.21853520.12  -3.16375320.12  -114.65357620.12  
-152.36842120.12  2.20504720.12  0.96084620.12  -2.22011620.12  -3.39665520.12  -132.95094120.12  
-199.73684220.12  1.39556320.12  0.28965820.12  -2.21794720.12  -3.57624120.12  -153.98757320.12  
-247.10526320.12  2.33692620.12  1.52969720.12  -2.22185320.12  -3.88575120.12  -176.96413820.12  
-294.47368420.12  0.78003620.12  -2.02945820.12  -2.21347420.12  -3.97948120.12  -201.55512620.12  
-341.84210520.12  1.69822820.12  -0.84693820.12  -2.21938120.12  -3.97030520.12  -230.06321720.12  
-389.21052620.12  0.78425120.12  0.62378520.12  -2.21828020.12  -4.80865720.12  -258.47399120.12  
-436.57894720.12  1.89869320.12  0.65760920.12  -2.22082320.12  -4.77945220.12  -272.78959020.12  
-483.94736820.12  1.27470520.12  -1.92334120.12  -2.21983420.12  -5.34902820.12  -321.19962120.12  
-531.31578920.12  2.51463120.12  1.05016520.12  -2.22240820.12  -5.18647520.12  -343.53579620.12  
-578.68421120.12  0.84904120.12  -1.81819820.12  -2.21823020.12  -6.56320120.12  -398.50902720.12  
-626.05263220.12  0.53086020.12  -1.16295920.12  -2.21921220.12  -6.76825620.12  -429.11145020.12  
-673.42105320.12  0.58418120.12  -1.39493720.12  -2.22176720.12  -8.24328220.12  -483.95119120.12  
-720.78947420.12  0.70664220.12  -2.01772020.12  -2.21915720.12  -9.28070420.12  -531.94612320.12  
-768.15789520.12  4.28188920.12  2.60177720.12  -2.22017920.12  -10.75622020.12  -576.38519320.12  
-815.52631620.12  0.61667520.12  -0.21079420.12  -2.22085320.12  -12.48438820.12  -626.45357420.12  
-862.89473720.12  0.20366020.12  -1.55457320.12  -2.21104520.12  -14.09710220.12  -676.36818220.12  
-910.26315820.12  0.45739620.12  -2.09185520.12  -2.22508920.12  -16.82492720.12  -727.39771120.12  
-957.63157920.12  -0.31868420.12  -2.04308220.12  -2.24532920.12  -19.88003320.12  -779.70187420.12  
-1005.00000020.12  -1.33322920.12  -1.99430120.12  -2.27466020.12  -23.75762220.12  -832.18259220.12  
-1057.63157920.12  -0.74931320.12  -2.11468820.12  -2.32416620.12  -28.72416920.12  -892.38258820.12  
-1110.26315820.12  0.52060020.12  -1.68162620.12  -2.38141320.12  -34.71948220.12  -942.83986420.12  
-1162.89473720.12  -0.18281020.12  -1.97059720.12  -2.45622720.12  -42.42684920.12  -1021.38753920.12  
-1215.52631620.12  0.55496220.12  -1.42028220.12  -2.54116520.12  -51.69308220.12  -1090.83755420.12  
-1268.15789520.12  0.74693220.12  -1.01144120.12  -2.62535020.12  -61.71442220.12  -1160.06118320.12  
-1320.78947420.12  1.04566620.12  -1.34759120.12  -2.72259920.12  -74.01274820.12  -1234.26786120.12  
-1373.42105320.12  0.69680220.12  -1.64124620.12  -2.83272320.12  -87.00851520.12  -1294.03732920.12  
-1426.05263220.12  2.00787720.12  -1.30981020.12  -2.94996220.12  -102.63676420.12  -1377.61381020.12  
-1478.68421120.12  1.21100920.12  -1.25928820.12  -3.06411920.12  -118.93501720.12  -1445.40483620.12  
-1531.31578920.12  0.07626420.12  -1.74728520.12  -3.17063620.12  -137.74599120.12  -1522.37394120.12  
-1583.94736820.12  2.49237720.12  -1.14984920.12  -3.30459420.12  -157.62740920.12  -1597.78278020.12  
-1636.57894720.12  5.34667820.12  -0.46125820.12  -3.44365420.12  -179.32309220.12  -1676.94672420.12  
-1689.21052620.12  1.44813920.12  -1.58386620.12  -3.58699820.12  -202.93004320.12  -1755.26345420.12  
-1741.84210520.12  2.57932220.12  -0.67584120.12  -3.72940220.12  -227.55592420.12  -1834.62786020.12  
-1794.47368420.12  2.40055820.12  0.21751620.12  -3.88674420.12  -254.19550120.12  -1913.18148320.12  
-1847.10526320.12  7.16060820.12  1.55850220.12  -4.04719320.12  -281.99413120.12  -1998.87363920.12  
-1899.73684220.12  2.59208820.12  -1.69191520.12  -4.23229820.12  -311.69459220.12  -2079.86163020.12  
-1952.36842120.12  0.38468720.12  -1.94740820.12  -4.42206820.12  -342.48388620.12  -2164.00838920.12  
-2005.00000020.12  7.71504120.12  0.63612920.12  -4.65980520.12  -374.76760220.12  -2248.24831720.12  
