#lambda     B_dimer     add(ABAB)   add(ABCC)   add(ABCD)   
4           1           4.68423     4.0021      4.0506     
4           1           4.58006     4.5004      3.9056     
4           1           4.75035     3.9095      4.0475     
4           1           nan         4.4958      nan        
6           1           4.44586     3.8994      4.6553     
6           1           4.65589     3.9127      4.6757     
6           1           4.51007     4.4300      4.4045     
6           1           4.04163     nan         nan        
8           1           4.6555      3.7345      5.1185     	
8           1           4.29881     3.9498      5.0202     
8           1           4.27149     4.3747      4.6939     
8           1           4.18092     4.4195      nan        
8           1           nan         4.4514      nan   
4	        2.2	        3.0354      2.6175      2.4173
4	        2.2	        3.0175      2.6930      2.6835
4	        2.2	        3.1525      2.8126      2.7269
4	        2.2	        2.6580      nan         2.5813
4	        2.2	        3.1584      nan         nan   
6	        2.2	        2.9911      2.6259      2.4207
6	        2.2	        2.6983      2.6939      2.9955
6	        2.2	        2.7873      2.6791      2.7754
6	        2.2	        3.0351      nan         2.7431
6           2.2         nan         nan         2.4732 
8	        2.2	        3.0365      2.7114      3.0103
8	        2.2	        2.7766      2.5214      3.0283
8	        2.2	        2.7667      2.7735      3.2027
8           2.2         nan         nan         3.1235 
8           2.2         nan         nan         3.1005 
8           2.2         nan         nan         2.8694
4	        5	        2.60389     2.3625      1.629
4	        5	        2.49673     2.4342      1.656
4	        5	        2.52438     2.4342      1.615
4	        5	        2.50953     2.5346      1.650
6	        5	        2.14846     2.0964      1.686
6	        5	        2.26929     2.0789      1.676
6	        5	        2.34386     2.3311      1.598
6	        5	        2.34052     nan         1.640
8	        5	        2.32441     1.9519      1.696
8	        5	        1.99004     1.9370      1.645
8	        5	        2.07277     1.6641      1.657
8	        5	        2.28509     nan         1.712
4	        7	        2.19477     2.26617     1.42454
4	        7	        2.23476     2.25709     1.42544
4	        7	        2.22073     2.39333     1.42418
4           7           nan         2.30879     nan    
6	        7	        1.99163     1.95204     1.38818
6	        7	        2.07325     1.98767     1.39683
6	        7	        1.93481     1.76337     1.40295
8	        7	        1.78849     1.29991     1.41837
8	        7	        2.02723     1.72529     1.40065
8	        7	        1.99435     1.91001     1.39882
8           7           nan         nan         1.40637
