
exp. coeff.   exp. coeff. (normalized)  width
{    0.885677 ,     0.784424 ,   101.915764}
{    3.222939 ,     2.854484 ,    28.069513}
{    1.847555 ,     1.636337 ,     7.214109}
{    0.902215 ,     0.799072 ,     1.440307}
{    0.341649 ,     0.302591 ,     0.323564}
{    0.140911 ,     0.124801 ,     0.077025}
{    0.018243 ,     0.016158 ,     0.015454}


exp. coeff.   exp. coeff. (normalized)  width
{    3.214024 ,    10.329948 ,    39.002533}
{    1.946356 ,     6.255635 ,    11.610573}
{    4.221736 ,    13.568760 ,     2.945224}
{   -3.295848 ,   -10.592935 ,     2.695198}
{    0.801869 ,     2.577226 ,     1.035783}
{    0.276962 ,     0.890163 ,     0.206043}
{    0.104641 ,     0.336318 ,     0.052847}

exp. coeff.   exp. coeff. (normalized)  width
{    1.094402 ,     1.197716 ,    62.663574}
{    2.509150 ,     2.746020 ,    30.835566}
{    1.851893 ,     2.026716 ,     9.708335}
{    1.092637 ,     1.195784 ,     2.505728}
{    0.557128 ,     0.609722 ,     0.477737}
{    0.161305 ,     0.176532 ,     0.071605}
{    0.012505 ,     0.013685 ,     0.014943}

exp. coeff.   exp. coeff. (normalized)  width
{   -1.634434 ,     2.671373 ,    67.856148}
{   -3.038978 ,     4.967008 ,    21.444180}
{   -1.652796 ,     2.701385 ,     4.974268}
{   -0.775407 ,     1.267351 ,     0.913539}
{   -0.236024 ,     0.385765 ,     0.177712}
{   -0.097708 ,     0.159697 ,     0.051661}
{   -0.000004 ,     0.000007 ,     0.000042}
