exp. coeff.   exp. coeff. (normalized)  width
{    2.274748 ,     5.174480 ,    27.797291}
{    1.384720 ,     3.149888 ,     9.976449}
{    0.895111 ,     2.036153 ,     4.324890}
{    0.725942 ,     1.651335 ,     1.386008}
{    0.301811 ,     0.686545 ,     0.376703}
{    0.163095 ,     0.371001 ,     0.148316}
{    0.070396 ,     0.160134 ,     0.035151}

exp. coeff.   exp. coeff. (normalized)  width
{    2.199530 ,     4.837933 ,    29.283295}
{    1.898329 ,     4.175432 ,     9.238533}
{    1.065239 ,     2.343025 ,     2.266595}
{    0.451557 ,     0.993213 ,     0.495074}
{    0.087427 ,     0.192298 ,     0.247760}
{    0.162625 ,     0.357699 ,     0.072264}
{    0.004946 ,     0.010878 ,     0.005093}

exp. coeff.   exp. coeff. (normalized)  width
{    2.736876 ,     7.490491 ,    23.744015}
{    1.555511 ,     4.257241 ,     6.262376}
{    0.685377 ,     1.875793 ,     1.879799}
{    0.362361 ,     0.991737 ,     0.723783}
{    0.295815 ,     0.809608 ,     0.221427}
{    0.089212 ,     0.244163 ,     0.040434}
{    0.001191 ,     0.003261 ,     0.003781}

exp. coeff.   exp. coeff. (normalized)  width
{    2.387816 ,     5.701667 ,    26.969221}
{    1.156199 ,     2.760791 ,     9.325920}
{    0.828344 ,     1.977934 ,     5.317492}
{    0.841885 ,     2.010266 ,     1.635152}
{    0.437764 ,     1.045300 ,     0.348694}
{    0.128152 ,     0.306003 ,     0.059209}
{    0.009670 ,     0.023090 ,     0.014619}
