#E_tot          E_tot-Eth    Phase(s)
  0.01760000   0.01760000   0.01990000
  0.06760000   0.06760000   0.80120000
  0.11760000   0.11760000   2.08960000
  0.16760000   0.16760000   3.44820000
  0.21760000   0.21760000   4.76130000
  0.26760000   0.26760000   5.99620000
  0.31760000   0.31760000   7.14550000
  0.36760000   0.36760000   8.21040000
  0.41760000   0.41760000   9.19530000
  0.46760000   0.46760000  10.10530000
  0.51760000   0.51760000  10.94580000
  0.56760000   0.56760000  11.72190000
  0.61760000   0.61760000  12.43820000
  0.66760000   0.66760000  13.09910000
  0.71760000   0.71760000  13.70850000
  0.76760000   0.76760000  14.27020000
  0.81760000   0.81760000  14.78730000
  0.86760000   0.86760000  15.26300000
  0.91760000   0.91760000  15.70000000
  0.96760000   0.96760000  16.10090000
  1.01760000   1.01760000  16.46800000
  1.06760000   1.06760000  16.80360000
  1.11760000   1.11760000  17.10960000
  1.16760000   1.16760000  17.38790000
  1.21760000   1.21760000  17.64030000
  1.26760000   1.26760000  17.86830000
  1.31760000   1.31760000  18.07340000
  1.36760000   1.36760000  18.25700000
  1.41760000   1.41760000  18.42050000
  1.46760000   1.46760000  18.56490000
  1.51760000   1.51760000  18.69150000
  1.56760000   1.56760000  18.80120000
  1.61760000   1.61760000  18.89510000
  1.66760000   1.66760000  18.97400000
  1.71760000   1.71760000  19.03890000
  1.76760000   1.76760000  19.09040000
  1.81760000   1.81760000  19.12930000
  1.86760000   1.86760000  19.15640000
  1.91760000   1.91760000  19.17230000
  1.96760000   1.96760000  19.17760000
  2.01760000   2.01760000  19.17280000
  2.06760000   2.06760000  19.15860000
  2.11760000   2.11760000  19.13540000
  2.16760000   2.16760000  19.10370000
  2.21760000   2.21760000  19.06390000
  2.26760000   2.26760000  19.01650000
  2.31760000   2.31760000  18.96180000
  2.36760000   2.36760000  18.90030000
  2.41760000   2.41760000  18.83230000
  2.46760000   2.46760000  18.75810000
  2.51760000   2.51760000  18.67800000
  2.56760000   2.56760000  18.59240000
  2.61760000   2.61760000  18.50150000
  2.66760000   2.66760000  18.40550000
  2.71760000   2.71760000  18.30480000
  2.76760000   2.76760000  18.19950000
  2.81760000   2.81760000  18.08990000
  2.86760000   2.86760000  17.97630000
  2.91760000   2.91760000  17.85870000
  2.96760000   2.96760000  17.73740000
  3.01760000   3.01760000  17.61260000
  3.06760000   3.06760000  17.48440000
  3.11760000   3.11760000  17.35300000
  3.16760000   3.16760000  17.21860000
  3.21760000   3.21760000  17.08130000
  3.26760000   3.26760000  16.94130000
  3.31760000   3.31760000  16.79860000
  3.36760000   3.36760000  16.65340000
