105.00000020.12  3.14366020.12  -0.57489820.12  -2.21994620.12  -2.62407220.12  -56.70408220.12  
93.94736820.12  0.88408520.12  0.08993920.12  -2.22057320.12  -2.53879820.12  -60.12144920.12  
82.89473720.12  1.64447420.12  0.18501520.12  -2.22244520.12  -2.60467420.12  -61.00959820.12  
71.84210520.12  0.62851420.12  -0.70927820.12  -2.22103320.12  -2.65851820.12  -62.96117520.12  
60.78947420.12  3.97529220.12  3.39389920.12  -2.22054220.12  -2.39793820.12  -67.16010520.12  
49.73684220.12  0.27046620.12  -1.53003320.12  -2.20511020.12  -2.75422920.12  -69.10870120.12  
38.68421120.12  2.21101720.12  -0.94174320.12  -2.22003320.12  -2.76748820.12  -70.78654220.12  
27.63157920.12  2.84115020.12  -2.09925920.12  -2.21834320.12  -2.64679920.12  -74.66523320.12  
16.57894720.12  1.88738920.12  -0.50037320.12  -2.21966720.12  -2.76490020.12  -77.51431120.12  
5.52631620.12  1.83894820.12  -1.48131720.12  -2.22099720.12  -2.83566020.12  -80.10772820.12  
-5.52631620.12  2.46217820.12  -2.10061020.12  -2.21567420.12  -2.83266220.12  -81.79083420.12  
-16.57894720.12  2.22568020.12  -0.65290720.12  -2.22026720.12  -2.92487720.12  -86.12887920.12  
-27.63157920.12  2.59824920.12  1.39401920.12  -2.21685320.12  -2.63860220.12  -89.30660620.12  
-38.68421120.12  1.05987220.12  -1.11703320.12  -2.21736820.12  -3.00667120.12  -92.52388320.12  
-49.73684220.12  2.26181020.12  -0.21556020.12  -2.22254920.12  -2.85436120.12  -94.85756520.12  
-60.78947420.12  0.76078220.12  -0.30935720.12  -2.21946620.12  -2.93019320.12  -99.58510620.12  
-71.84210520.12  1.85505020.12  -0.05696820.12  -2.22068520.12  -2.91851320.12  -103.10956720.12  
-82.89473720.12  0.91329220.12  0.17595220.12  -2.22281820.12  -2.83222220.12  -106.49450320.12  
-93.94736820.12  0.63014320.12  -1.51832420.12  -2.22277320.12  -3.11104720.12  -109.29688720.12  
-105.00000020.12  1.98117620.12  1.85714120.12  -2.21851420.12  -3.13847020.12  -114.90557220.12  
