1095.00000020.12  13.26437420.12  6.70045420.12  3.14683420.12  -2.22195920.12  -9.82919020.12  
1042.89473720.12  0.78804320.12  0.06194420.12  -1.10523120.12  -2.22048920.12  -10.44843020.12  
990.78947420.12  2.81205320.12  2.05924720.12  -1.94087420.12  -2.21943020.12  -10.47988920.12  
938.68421120.12  1.96084320.12  1.37363420.12  -1.99393220.12  -2.22245120.12  -10.66615420.12  
886.57894720.12  2.97050020.12  2.73595720.12  -2.08467420.12  -2.22092420.12  -12.01876920.12  
834.47368420.12  5.04184320.12  2.10990120.12  -1.10523720.12  -2.21558520.12  -12.13155120.12  
782.36842120.12  1.47845620.12  0.74149320.12  -1.92022320.12  -2.22061620.12  -13.32678020.12  
730.26315820.12  4.88760920.12  2.69018620.12  -1.98003320.12  -2.21680820.12  -14.28969520.12  
678.15789520.12  0.24027320.12  -0.49599820.12  -1.98132520.12  -2.21827220.12  -15.17864220.12  
626.05263220.12  0.63789220.12  -1.13699820.12  -2.08659720.12  -2.22482820.12  -16.53895420.12  
573.94736820.12  1.38118320.12  -0.21709920.12  -1.99762420.12  -2.23546920.12  -18.00758120.12  
521.84210520.12  1.01542320.12  -1.13176920.12  -2.06263820.12  -2.24720920.12  -19.77723020.12  
469.73684220.12  1.48549220.12  -0.64554220.12  -1.93391720.12  -2.26704020.12  -21.93128420.12  
417.63157920.12  0.65331620.12  -0.88238520.12  -1.85544620.12  -2.28953220.12  -24.60038820.12  
365.52631620.12  1.17360420.12  -0.60401920.12  -1.94180920.12  -2.32908720.12  -27.70567820.12  
313.42105320.12  2.55770620.12  -0.39206720.12  -1.93345120.12  -2.37415120.12  -31.66986120.12  
261.31578920.12  1.37656020.12  -0.15921520.12  -1.84963520.12  -2.42897220.12  -36.41833020.12  
209.21052620.12  5.09677520.12  3.28128620.12  -0.98375120.12  -2.49693220.12  -42.37195520.12  
157.10526320.12  2.75217620.12  -0.10843620.12  -1.79935320.12  -2.58303520.12  -49.60950020.12  
105.00000020.12  0.60075720.12  -1.00209520.12  -2.06725020.12  -2.68781720.12  -58.35469720.12  
