-105.00000020.12  2.35628020.12  -1.80627920.12  -2.21853520.12  -3.16375320.12  -114.65357620.12  
-152.36842120.12  2.20504720.12  0.96084620.12  -2.22011620.12  -3.39665520.12  -132.95094120.12  
-199.73684220.12  1.39556320.12  0.28965820.12  -2.21794720.12  -3.57624120.12  -153.98757320.12  
-247.10526320.12  2.33692620.12  1.52969720.12  -2.22185320.12  -3.88575120.12  -176.96413820.12  
-294.47368420.12  0.78003620.12  -2.02945820.12  -2.21347420.12  -3.97948120.12  -201.55512620.12  
-341.84210520.12  1.69822820.12  -0.84693820.12  -2.21938120.12  -3.97030520.12  -230.06321720.12  
-389.21052620.12  0.78425120.12  0.62378520.12  -2.21828020.12  -4.80865720.12  -258.47399120.12  
-436.57894720.12  1.89869320.12  0.65760920.12  -2.22082320.12  -4.77945220.12  -272.78959020.12  
-483.94736820.12  1.27470520.12  -1.92334120.12  -2.21983420.12  -5.34902820.12  -321.19962120.12  
-531.31578920.12  2.51463120.12  1.05016520.12  -2.22240820.12  -5.18647520.12  -343.53579620.12  
-578.68421120.12  0.84904120.12  -1.81819820.12  -2.21823020.12  -6.56320120.12  -398.50902720.12  
-626.05263220.12  0.53086020.12  -1.16295920.12  -2.21921220.12  -6.76825620.12  -429.11145020.12  
-673.42105320.12  0.58418120.12  -1.39493720.12  -2.22176720.12  -8.24328220.12  -483.95119120.12  
-720.78947420.12  0.70664220.12  -2.01772020.12  -2.21915720.12  -9.28070420.12  -531.94612320.12  
-768.15789520.12  4.28188920.12  2.60177720.12  -2.22017920.12  -10.75622020.12  -576.38519320.12  
-815.52631620.12  0.61667520.12  -0.21079420.12  -2.22085320.12  -12.48438820.12  -626.45357420.12  
-862.89473720.12  0.20366020.12  -1.55457320.12  -2.21104520.12  -14.09710220.12  -676.36818220.12  
-910.26315820.12  0.45739620.12  -2.09185520.12  -2.22508920.12  -16.82492720.12  -727.39771120.12  
-957.63157920.12  -0.31868420.12  -2.04308220.12  -2.24532920.12  -19.88003320.12  -779.70187420.12  
-1005.00000020.12  -0.76828620.12  -1.89166420.12  -2.26887820.12  -23.27883520.12  -812.05873220.12  
