#E_tot          E_tot-Eth     Phase(s) scatt. length
  0.01173000   3.93500000  -5.13290000   3.77649420
  0.03673000   3.96000000  -9.06350000   3.79000950
  0.06173000   3.98500000 -11.72640000   3.80409526
  0.08673000   4.01000000 -13.87290000   3.81855107
  0.11173000   4.03500000 -15.71640000   3.83324846
  0.13673000   4.06000000 -17.35410000   3.84816572
  0.16173000   4.08500000 -18.84020000   3.86332491
  0.18673000   4.11000000 -20.20840000   3.87870103
  0.21173000   4.13500000 -21.48140000   3.89427292
  0.23673000   4.16000000 -22.67540000   3.91003179
  0.26173000   4.18500000 -23.80250000   3.92598424
  0.28673000   4.21000000 -24.87190000   3.94211961
  0.31173000   4.23500000 -25.89100000   3.95845809
  0.33673000   4.26000000 -26.86550000   3.97497113
  0.36173000   4.28500000 -27.80040000   3.99169396
  0.38673000   4.31000000 -28.69950000   4.00859475
  0.41173000   4.33500000 -29.56620000   4.02568166
  0.43673000   4.36000000 -30.40340000   4.04296224
  0.46173000   4.38500000 -31.21360000   4.06044395
  0.48673000   4.41000000 -31.99880000   4.07810657
  0.51173000   4.43500000 -32.76100000   4.09597292
  0.53673000   4.46000000 -33.50180000   4.11403764
  0.56173000   4.48500000 -34.22270000   4.13230926
  0.58673000   4.51000000 -34.92480000   4.15075904
  0.61173000   4.53500000 -35.60950000   4.16942580
  0.63673000   4.56000000 -36.27770000   4.18828908
  0.66173000   4.58500000 -36.93040000   4.20735947
  0.68673000   4.61000000 -37.56840000   4.22663038
  0.71173000   4.63500000 -38.19250000   4.24610703
  0.73673000   4.66000000 -38.80350000   4.26580493
  0.76173000   4.68500000 -39.40200000   4.28571826
  0.78673000   4.71000000 -39.98850000   4.30583404
  0.81173000   4.73500000 -40.56360000   4.32616176
  0.83673000   4.76000000 -41.12790000   4.34671741
  0.86173000   4.78500000 -41.68180000   4.36749225
  0.88673000   4.81000000 -42.22580000   4.38849811
  0.91173000   4.83500000 -42.76020000   4.40972084
  0.93673000   4.86000000 -43.28540000   4.43116592
  0.96173000   4.88500000 -43.80190000   4.45285840
  0.98673000   4.91000000 -44.30980000   4.47476482
  1.01173000   4.93500000 -44.80970000   4.49693294
  1.03673000   4.96000000 -45.30160000   4.51931979
  1.06173000   4.98500000 -45.78600000   4.54196360
