#    E_match       a_np3s       a_np1s         a_dd       a_dqdq         a_tp        a_hen
      0.0100       4.6687       4.6513       5.3698       7.2783       9.4090       3.7540
      0.0350       4.6726       4.6551       5.2904       7.1154       9.1638       3.6571
      0.0600       4.6765       4.6589       5.2206       6.9979       8.9661       3.5538
      0.0850       4.6803       4.6627       5.1585       6.9013       8.8114       3.5595
      0.1100       4.6842       4.6665       5.1039       6.8213       8.6866       3.6150
      0.1350       4.6880       4.6702       5.0568       6.7537       8.5821       3.6423
      0.1600       4.6918       4.6740       5.0160       6.6957       8.4919       3.6466
      0.1850       4.6956       4.6778       4.9801       6.6448       8.4122       3.6370
      0.2100       4.6993       4.6815       4.9483       6.5997       8.3403       3.6203
      0.2350       4.7031       4.6852       4.9197       6.5589       8.2744       3.6039
      0.2600       4.7068       4.6889       4.8936       6.5218       8.2131       3.5954
      0.2850       4.7105       4.6926       4.8698       6.4876       8.1555       3.5994
      0.3100       4.7142       4.6963       4.8478       6.4557       8.1008       3.6145
      0.3350       4.7179       4.6999       4.8274       6.4259       8.0485       3.6355
      0.3600       4.7215       4.7036       4.8083       6.3976       7.9981       3.6576
      0.3850       4.7252       4.7072       4.7903       6.3707       7.9492       3.6779
      0.4100       4.7288       4.7109       4.7733       6.3450       7.9015       3.6951
      0.4350       4.7324       4.7145       4.7572       6.3202       7.8549       3.7092
      0.4600       4.7360       4.7181       4.7418       6.2963       7.8091       3.7202
      0.4850       4.7395       4.7217       4.7272       6.2730       7.7639       3.7286
      0.5100       4.7431       4.7253       4.7131       6.2503       7.7193       3.7350
      0.5350       4.7466       4.7288       4.6995       6.2280       7.6751       3.7397
      0.5600       4.7501       4.7324       4.6864       6.2061       7.6312       3.7435
      0.5850       4.7536       4.7359       4.6737       6.1845       7.5875       3.7470
      0.6100       4.7571       4.7394       4.6613       6.1632       7.5439       3.7507
      0.6350       4.7605       4.7430       4.6493       6.1420       7.5005       3.7555
      0.6600       4.7640       4.7465       4.6376       6.1209       7.4572       3.7618
      0.6850       4.7674       4.7500       4.6262       6.1000       7.4138       3.7701
      0.7100       4.7708       4.7534       4.6149       6.0790       7.3703       3.7806
      0.7350       4.7742       4.7569       4.6039       6.0581       7.3268       3.7935
      0.7600       4.7776       4.7604       4.5930       6.0371       7.2832       3.8085
      0.7850       4.7809       4.7638       4.5823       6.0160       7.2394       3.8252
      0.8100       4.7843       4.7672       4.5717       5.9949       7.1955       3.8433
      0.8350       4.7876       4.7707       4.5613       5.9737       7.1514       3.8623
      0.8600       4.7909       4.7741       4.5509       5.9523       7.1070       3.8818
      0.8850       4.7942       4.7775       4.5406       5.9307       7.0624       3.9014
      0.9100       4.7975       4.7809       4.5305       5.9089       7.0176       3.9209
      0.9350       4.8008       4.7842       4.5203       5.8870       6.9724       3.9401
      0.9600       4.8040       4.7876       4.5103       5.8648       6.9268       3.9589
      0.9850       4.8072       4.7909       4.5002       5.8424       6.8809       3.9770
      1.0100       4.8104       4.7943       4.4902       5.8198       6.8346       3.9946
      1.0350       4.8136       4.7976       4.4802       5.7969       6.7876       4.0116
      1.0600       4.8168       4.8009       4.4703       5.7737       6.7400       4.0280
      1.0850       4.8200       4.8042       4.4603       5.7503       6.6916       4.0438
      1.1100       4.8231       4.8075       4.4503       5.7266       6.6418       4.0591
      1.1350       4.8263       4.8108       4.4404       5.7025       6.5902       4.0739
      1.1600       4.8294       4.8140       4.4304       5.6782       6.5349       4.0882
      1.1850       4.8325       4.8173       4.4204       5.6536       6.4516       4.1021
      1.2100       4.8356       4.8205       4.4104       5.6286       6.4112       4.1157
      1.2350       4.8386       4.8238       4.4004       5.6033       6.3718       4.1290
      1.2600       4.8417       4.8270       4.3903       5.5777       6.3380       4.1421
      1.2850       4.8447       4.8302       4.3802       5.5517       6.3040       4.1549
      1.3100       4.8478       4.8334       4.3701       5.5254       6.2677       4.1677
      1.3350       4.8508       4.8366       4.3599       5.4988       6.2301       4.1804
      1.3600       4.8538       4.8397       4.3497       5.4718       6.1919       4.1931
      1.3850       4.8568       4.8429       4.3395       5.4444       6.1535       4.2059
      1.4100       4.8597       4.8461       4.3291       5.4167       6.1151       4.2187
      1.4350       4.8627       4.8492       4.3188       5.3887       6.0767       4.2317
      1.4600       4.8656       4.8523       4.3084       5.3602       6.0382       4.2449
