#E_tot          E_tot-Eth     Phase(s) scatt. length
  0.01000000   0.01000000  -4.14680000   4.66872543
  0.03500000   0.03500000  -7.73070000   4.67258827
  0.06000000   0.06000000 -10.08670000   4.67647703
  0.08500000   0.08500000 -11.96420000   4.68034099
  0.11000000   0.11000000 -13.56380000   4.68416105
  0.13500000   0.13500000 -14.97540000   4.68800209
  0.16000000   0.16000000 -16.24830000   4.69180161
  0.18500000   0.18500000 -17.41340000   4.69560188
  0.21000000   0.21000000 -18.49120000   4.69934294
  0.23500000   0.23500000 -19.49670000   4.70309679
  0.26000000   0.26000000 -20.44070000   4.70682164
  0.28500000   0.28500000 -21.33170000   4.71054163
  0.31000000   0.31000000 -22.17620000   4.71422653
  0.33500000   0.33500000 -22.97960000   4.71789314
  0.36000000   0.36000000 -23.74630000   4.72154768
  0.38500000   0.38500000 -24.47990000   4.72518111
  0.41000000   0.41000000 -25.18350000   4.72880015
  0.43500000   0.43500000 -25.85970000   4.73240072
  0.46000000   0.46000000 -26.51070000   4.73597128
  0.48500000   0.48500000 -27.13860000   4.73954075
  0.51000000   0.51000000 -27.74500000   4.74308476
  0.53500000   0.53500000 -28.33150000   4.74662046
  0.56000000   0.56000000 -28.89930000   4.75011910
  0.58500000   0.58500000 -29.44980000   4.75361997
  0.61000000   0.61000000 -29.98390000   4.75708840
  0.63500000   0.63500000 -30.50270000   4.76054926
  0.66000000   0.66000000 -31.00700000   4.76398729
  0.68500000   0.68500000 -31.49770000   4.76742137
  0.71000000   0.71000000 -31.97540000   4.77082716
  0.73500000   0.73500000 -32.44080000   4.77421083
  0.76000000   0.76000000 -32.89460000   4.77758828
  0.78500000   0.78500000 -33.33730000   4.78094751
  0.81000000   0.81000000 -33.76940000   4.78428459
  0.83500000   0.83500000 -34.19150000   4.78762062
  0.86000000   0.86000000 -34.60390000   4.79092879
  0.88500000   0.88500000 -35.00700000   4.79420624
  0.91000000   0.91000000 -35.40140000   4.79749058
  0.93500000   0.93500000 -35.78730000   4.80075271
  0.96000000   0.96000000 -36.16500000   4.80398569
  0.98500000   0.98500000 -36.53500000   4.80722150
  1.01000000   1.01000000 -36.89750000   4.81044261
  1.03500000   1.03500000 -37.25270000   4.81363486
  1.06000000   1.06000000 -37.60090000   4.81680446
  1.08500000   1.08500000 -37.94250000   4.81997751
  1.11000000   1.11000000 -38.27760000   4.82313036
  1.13500000   1.13500000 -38.60640000   4.82625904
  1.16000000   1.16000000 -38.92920000   4.82937890
  1.18500000   1.18500000 -39.24620000   4.83248987
  1.21000000   1.21000000 -39.55750000   4.83557646
  1.23500000   1.23500000 -39.86330000   4.83864205
  1.26000000   1.26000000 -40.16380000   4.84169152
  1.28500000   1.28500000 -40.45930000   4.84474827
  1.31000000   1.31000000 -40.74970000   4.84776850
  1.33500000   1.33500000 -41.03530000   4.85077817
  1.36000000   1.36000000 -41.31620000   4.85377016
  1.38500000   1.38500000 -41.59260000   4.85675550
  1.41000000   1.41000000 -41.86460000   4.85972918
  1.43500000   1.43500000 -42.13230000   4.86268713
  1.46000000   1.46000000 -42.39570000   4.86560915
  1.48500000   1.48500000 -42.65520000   4.86854410
  1.51000000   1.51000000 -42.91070000   4.87145635
  1.53500000   1.53500000 -43.16230000   4.87434514
  1.56000000   1.56000000 -43.41020000   4.87722749
  1.58500000   1.58500000 -43.65440000   4.88008697
  1.61000000   1.61000000 -43.89510000   4.88294190
  1.63500000   1.63500000 -44.13230000   4.88577709
  1.66000000   1.66000000 -44.36610000   4.88859497
  1.68500000   1.68500000 -44.59660000   4.89139854
  1.71000000   1.71000000 -44.82390000   4.89419130
  1.73500000   1.73500000 -45.04800000   4.89696016
  1.76000000   1.76000000 -45.26910000   4.89972667
  1.78500000   1.78500000 -45.48720000   4.90247867
  1.81000000   1.81000000 -45.70240000   4.90522148
  1.83500000   1.83500000 -45.91470000   4.90794375
  1.86000000   1.86000000 -46.12420000   4.91065160
  1.88500000   1.88500000 -46.33090000   4.91333438
  1.91000000   1.91000000 -46.53500000   4.91601612
  1.93500000   1.93500000 -46.73650000   4.91868689
  1.96000000   1.96000000 -46.93540000   4.92133701
  1.98500000   1.98500000 -47.13180000   4.92397435
  2.01000000   2.01000000 -47.32580000   4.92660708
  2.03500000   2.03500000 -47.51730000   4.92920915
  2.06000000   2.06000000 -47.70650000   4.93180655
  2.08500000   2.08500000 -47.89340000   4.93439100
  2.11000000   2.11000000 -48.07810000   4.93697181
  2.13500000   2.13500000 -48.26050000   4.93952382
  2.16000000   2.16000000 -48.44080000   4.94207413
  2.18500000   2.18500000 -48.61890000   4.94459801
  2.21000000   2.21000000 -48.79500000   4.94712307
  2.23500000   2.23500000 -48.96900000   4.94962493
  2.26000000   2.26000000 -49.14100000   4.95211423
  2.28500000   2.28500000 -49.31100000   4.95458437
  2.31000000   2.31000000 -49.47910000   4.95704638
  2.33500000   2.33500000 -49.64530000   4.95949403
  2.36000000   2.36000000 -49.80970000   4.96193878
  2.38500000   2.38500000 -49.97220000   4.96435711
  2.41000000   2.41000000 -50.13300000   4.96677842
  2.43500000   2.43500000 -50.29200000   4.96917948
  2.46000000   2.46000000 -50.44920000   4.97155474
  2.48500000   2.48500000 -50.60480000   4.97393416
  2.51000000   2.51000000 -50.75870000   4.97629485
  2.53500000   2.53500000 -50.91100000   4.97864942
  2.56000000   2.56000000 -51.06160000   4.98097511
  2.58500000   2.58500000 -51.21070000   4.98330261
  2.61000000   2.61000000 -51.35820000   4.98560936
  2.63500000   2.63500000 -51.50420000   4.98790855
  2.66000000   2.66000000 -51.64870000   4.99019566
  2.68500000   2.68500000 -51.79170000   4.99246624
  2.71000000   2.71000000 -51.93330000   4.99473389
  2.73500000   2.73500000 -52.07340000   4.99697642
  2.76000000   2.76000000 -52.21210000   4.99920763
  2.78500000   2.78500000 -52.34950000   5.00144152
  2.81000000   2.81000000 -52.48540000   5.00363803
  2.83500000   2.83500000 -52.62010000   5.00584749
  2.86000000   2.86000000 -52.75340000   5.00802992
  2.88500000   2.88500000 -52.88540000   5.01019972
  2.91000000   2.91000000 -53.01620000   5.01237142
  2.93500000   2.93500000 -53.14570000   5.01452331
  2.96000000   2.96000000 -53.27390000   5.01665185
  2.98500000   2.98500000 -53.40100000   5.01879015
  3.01000000   3.01000000 -53.52680000   5.02089831
  3.03500000   3.03500000 -53.65150000   5.02300968
  3.06000000   3.06000000 -53.77500000   5.02510273
  3.08500000   3.08500000 -53.89730000   5.02717426
  3.11000000   3.11000000 -54.01850000   5.02923960
  3.13500000   3.13500000 -54.13870000   5.03131423
  3.16000000   3.16000000 -54.25770000   5.03335823
  3.18500000   3.18500000 -54.37560000   5.03538716
  3.21000000   3.21000000 -54.49250000   5.03741672
  3.23500000   3.23500000 -54.60830000   5.03942555
  3.26000000   3.26000000 -54.72310000   5.04142950
  3.28500000   3.28500000 -54.83680000   5.04340722
  3.31000000   3.31000000 -54.94960000   5.04539343
  3.33500000   3.33500000 -55.06130000   5.04734812
  3.36000000   3.36000000 -55.17210000   5.04930621
  3.38500000   3.38500000 -55.28200000   5.05126527
  3.41000000   3.41000000 -55.39080000   5.05318517
  3.43500000   3.43500000 -55.49880000   5.05512006
  3.46000000   3.46000000 -55.60580000   5.05702981
  3.48500000   3.48500000 -55.71190000   5.05893100
  3.51000000   3.51000000 -55.81710000   5.06082134
  3.53500000   3.53500000 -55.92140000   5.06269859
  3.56000000   3.56000000 -56.02480000   5.06456051
  3.58500000   3.58500000 -56.12740000   5.06642402
  3.61000000   3.61000000 -56.22910000   5.06826790
  3.63500000   3.63500000 -56.33000000   5.07010919
  3.66000000   3.66000000 -56.43010000   5.07194585
  3.68500000   3.68500000 -56.52930000   5.07375666
  3.71000000   3.71000000 -56.62770000   5.07555880
  3.73500000   3.73500000 -56.72530000   5.07735032
  3.76000000   3.76000000 -56.82220000   5.07914866
  3.78500000   3.78500000 -56.91820000   5.08091321
  3.81000000   3.81000000 -57.01350000   5.08268085
  3.83500000   3.83500000 -57.10800000   5.08443034
  3.86000000   3.86000000 -57.20180000   5.08617932
  3.88500000   3.88500000 -57.29490000   5.08792607
  3.91000000   3.91000000 -57.38720000   5.08964932
  3.93500000   3.93500000 -57.47880000   5.09136687
  3.96000000   3.96000000 -57.56960000   5.09305742
  3.98500000   3.98500000 -57.65980000   5.09475853
  4.01000000   4.01000000 -57.74930000   5.09644899
  4.03500000   4.03500000 -57.83810000   5.09812716
  4.06000000   4.06000000 -57.92620000   5.09979143
