#    E_match       a_np3s       a_np1s         a_dd       a_dqdq         a_tp        a_hen
      0.0100       4.8135       4.8043       5.8348       8.2623       5.4423       2.8555
      0.0350       4.8203       4.8113       5.7601       8.0781       5.3346       2.8355
      0.0600       4.8271       4.8182       5.6843       7.9258       5.2624       2.8227
      0.0850       4.8338       4.8251       5.6195       7.7985       5.2052       2.8317
      0.1100       4.8405       4.8319       5.5635       7.6928       5.1588       2.8424
      0.1350       4.8473       4.8387       5.5147       7.6038       5.1202       2.8477
      0.1600       4.8540       4.8455       5.4713       7.5275       5.0870       2.8486
      0.1850       4.8607       4.8523       5.4324       7.4606       5.0580       2.8468
      0.2100       4.8674       4.8591       5.3967       7.4010       5.0323       2.8444
      0.2350       4.8741       4.8658       5.3637       7.3473       5.0092       2.8431
      0.2600       4.8807       4.8725       5.3331       7.2983       4.9881       2.8441
      0.2850       4.8874       4.8792       5.3044       7.2530       4.9687       2.8478
      0.3100       4.8941       4.8859       5.2774       7.2107       4.9507       2.8534
      0.3350       4.9007       4.8925       5.2519       7.1709       4.9338       2.8600
      0.3600       4.9073       4.8992       5.2276       7.1332       4.9179       2.8670
      0.3850       4.9139       4.9058       5.2046       7.0972       4.9029       2.8736
      0.4100       4.9205       4.9124       5.1826       7.0626       4.8885       2.8798
      0.4350       4.9271       4.9189       5.1617       7.0292       4.8749       2.8853
      0.4600       4.9337       4.9254       5.1416       6.9967       4.8617       2.8902
      0.4850       4.9403       4.9320       5.1223       6.9651       4.8490       2.8947
      0.5100       4.9469       4.9385       5.1039       6.9340       4.8367       2.8988
      0.5350       4.9534       4.9450       5.0860       6.9034       4.8248       2.9026
      0.5600       4.9599       4.9514       5.0689       6.8732       4.8132       2.9064
      0.5850       4.9665       4.9579       5.0522       6.8434       4.8018       2.9103
      0.6100       4.9730       4.9643       5.0361       6.8137       4.7907       2.9143
      0.6350       4.9795       4.9707       5.0205       6.7841       4.7798       2.9187
      0.6600       4.9860       4.9771       5.0053       6.7546       4.7691       2.9235
      0.6850       4.9925       4.9834       4.9904       6.7251       4.7585       2.9288
      0.7100       4.9990       4.9898       4.9759       6.6956       4.7481       2.9346
      0.7350       5.0055       4.9961       4.9616       6.6659       4.7378       2.9408
      0.7600       5.0119       5.0024       4.9476       6.6361       4.7276       2.9475
      0.7850       5.0184       5.0087       4.9338       6.6061       4.7175       2.9544
      0.8100       5.0248       5.0149       4.9202       6.5758       4.7075       2.9617
      0.8350       5.0312       5.0212       4.9067       6.5453       4.6975       2.9691
      0.8600       5.0376       5.0274       4.8934       6.5146       4.6875       2.9766
      0.8850       5.0441       5.0336       4.8801       6.4834       4.6776       2.9842
      0.9100       5.0505       5.0398       4.8669       6.4520       4.6677       2.9917
      0.9350       5.0569       5.0459       4.8537       6.4202       4.6578       2.9991
      0.9600       5.0633       5.0521       4.8406       6.3879       4.6477       3.0064
      0.9850       5.0696       5.0582       4.8274       6.3553       4.6377       3.0136
      1.0100       5.0760       5.0643       4.8142       6.3223       4.6274       3.0207
      1.0350       5.0824       5.0704       4.8011       6.2888       4.6169       3.0276
