#E_tot          E_tot-Eth     Phase(s) scatt. length
  0.01000000   0.01000000  -4.25280000   4.78850080
  0.03500000   0.03500000  -7.92910000   4.79403060
  0.06000000   0.06000000 -10.34660000   4.79960029
  0.08500000   0.08500000 -12.27360000   4.80511219
  0.11000000   0.11000000 -13.91590000   4.81061002
  0.13500000   0.13500000 -15.36560000   4.81613408
  0.16000000   0.16000000 -16.67320000   4.82161076
  0.18500000   0.18500000 -17.87040000   4.82709454
  0.21000000   0.21000000 -18.97840000   4.83257634
  0.23500000   0.23500000 -20.01220000   4.83802642
  0.26000000   0.26000000 -20.98320000   4.84349271
  0.28500000   0.28500000 -21.89980000   4.84892091
  0.31000000   0.31000000 -22.76900000   4.85436475
  0.33500000   0.33500000 -23.59610000   4.85978461
  0.36000000   0.36000000 -24.38560000   4.86518661
  0.38500000   0.38500000 -25.14130000   4.87058741
  0.41000000   0.41000000 -25.86640000   4.87599881
  0.43500000   0.43500000 -26.56340000   4.88138125
  0.46000000   0.46000000 -27.23470000   4.88675468
  0.48500000   0.48500000 -27.88230000   4.89211759
  0.51000000   0.51000000 -28.50800000   4.89747858
  0.53500000   0.53500000 -29.11320000   4.90280703
  0.56000000   0.56000000 -29.69950000   4.90814825
  0.58500000   0.58500000 -30.26800000   4.91347618
  0.61000000   0.61000000 -30.81990000   4.91880998
  0.63500000   0.63500000 -31.35600000   4.92411176
  0.66000000   0.66000000 -31.87740000   4.92942051
  0.68500000   0.68500000 -32.38480000   4.93471339
  0.71000000   0.71000000 -32.87900000   4.94000072
  0.73500000   0.73500000 -33.36060000   4.94526680
  0.76000000   0.76000000 -33.83040000   4.95054411
  0.78500000   0.78500000 -34.28880000   4.95579929
  0.81000000   0.81000000 -34.73650000   4.96106330
  0.83500000   0.83500000 -35.17380000   4.96630020
  0.86000000   0.86000000 -35.60130000   4.97153618
  0.88500000   0.88500000 -36.01940000   4.97676630
  0.91000000   0.91000000 -36.42850000   4.98199101
  0.93500000   0.93500000 -36.82890000   4.98719736
  0.96000000   0.96000000 -37.22100000   4.99239497
  0.98500000   0.98500000 -37.60520000   4.99759727
  1.01000000   1.01000000 -37.98170000   5.00278514
  1.03500000   1.03500000 -38.35080000   5.00796090
  1.06000000   1.06000000 -38.71280000   5.01312981
  1.08500000   1.08500000 -39.06800000   5.01829988
  1.11000000   1.11000000 -39.41660000   5.02346373
  1.13500000   1.13500000 -39.75880000   5.02861635
  1.16000000   1.16000000 -40.09480000   5.03375494
  1.18500000   1.18500000 -40.42490000   5.03889652
  1.21000000   1.21000000 -40.74920000   5.04402431
  1.23500000   1.23500000 -41.06790000   5.04914110
  1.26000000   1.26000000 -41.38120000   5.05425129
  1.28500000   1.28500000 -41.68930000   5.05936074
  1.31000000   1.31000000 -41.99230000   5.06445897
  1.33500000   1.33500000 -42.29040000   5.06955458
  1.36000000   1.36000000 -42.58370000   5.07463962
  1.38500000   1.38500000 -42.87240000   5.07972507
  1.41000000   1.41000000 -43.15650000   5.08478744
  1.43500000   1.43500000 -43.43630000   5.08985759
  1.46000000   1.46000000 -43.71180000   5.09491399
  1.48500000   1.48500000 -43.98320000   5.09997160
  1.51000000   1.51000000 -44.25050000   5.10501061
  1.53500000   1.53500000 -44.51390000   5.11004766
  1.56000000   1.56000000 -44.77350000   5.11508232
  1.58500000   1.58500000 -45.02930000   5.12009701
  1.61000000   1.61000000 -45.28150000   5.12511057
  1.63500000   1.63500000 -45.53020000   5.13012463
  1.66000000   1.66000000 -45.77550000   5.13514145
  1.68500000   1.68500000 -46.01730000   5.14012799
  1.71000000   1.71000000 -46.25590000   5.14512349
  1.73500000   1.73500000 -46.49130000   5.15011393
  1.76000000   1.76000000 -46.72350000   5.15508572
  1.78500000   1.78500000 -46.95270000   5.16006177
  1.81000000   1.81000000 -47.17890000   5.16502942
  1.83500000   1.83500000 -47.40220000   5.16999449
  1.86000000   1.86000000 -47.62260000   5.17494510
  1.88500000   1.88500000 -47.84030000   5.17990605
  1.91000000   1.91000000 -48.05520000   5.18484807
  1.93500000   1.93500000 -48.26740000   5.18977851
  1.96000000   1.96000000 -48.47700000   5.19470515
  1.98500000   1.98500000 -48.68410000   5.19963614
  2.01000000   2.01000000 -48.88870000   5.20456168
  2.03500000   2.03500000 -49.09080000   5.20947221
  2.06000000   2.06000000 -49.29050000   5.21437679
  2.08500000   2.08500000 -49.48790000   5.21928484
  2.11000000   2.11000000 -49.68300000   5.22418765
  2.13500000   2.13500000 -49.87580000   5.22907670
  2.16000000   2.16000000 -50.06640000   5.23396220
  2.18500000   2.18500000 -50.25480000   5.23883610
  2.21000000   2.21000000 -50.44120000   5.24372780
  2.23500000   2.23500000 -50.62540000   5.24859245
  2.26000000   2.26000000 -50.80760000   5.25345991
  2.28500000   2.28500000 -50.98780000   5.25832299
  2.31000000   2.31000000 -51.16600000   5.26317463
  2.33500000   2.33500000 -51.34230000   5.26802677
  2.36000000   2.36000000 -51.51670000   5.27287272
  2.38500000   2.38500000 -51.68920000   5.27770596
  2.41000000   2.41000000 -51.85990000   5.28253901
  2.43500000   2.43500000 -52.02880000   5.28736568
  2.46000000   2.46000000 -52.19600000   5.29219897
  2.48500000   2.48500000 -52.36140000   5.29701391
  2.51000000   2.51000000 -52.52510000   5.30182376
  2.53500000   2.53500000 -52.68720000   5.30664208
  2.56000000   2.56000000 -52.84760000   5.31144418
  2.58500000   2.58500000 -53.00640000   5.31624388
  2.61000000   2.61000000 -53.16360000   5.32103592
  2.63500000   2.63500000 -53.31930000   5.32583450
  2.66000000   2.66000000 -53.47340000   5.33061522
  2.68500000   2.68500000 -53.62610000   5.33541204
  2.71000000   2.71000000 -53.77720000   5.34018119
  2.73500000   2.73500000 -53.92690000   5.34495695
  2.76000000   2.76000000 -54.07520000   5.34973480
  2.78500000   2.78500000 -54.22200000   5.35449054
  2.81000000   2.81000000 -54.36750000   5.35925912
  2.83500000   2.83500000 -54.51160000   5.36401651
  2.86000000   2.86000000 -54.65440000   5.36877828
  2.88500000   2.88500000 -54.79580000   5.37352040
  2.91000000   2.91000000 -54.93590000   5.37825863
  2.93500000   2.93500000 -55.07480000   5.38300900
  2.96000000   2.96000000 -55.21240000   5.38774763
  2.98500000   2.98500000 -55.34870000   5.39247062
  3.01000000   3.01000000 -55.48390000   5.39721446
  3.03500000   3.03500000 -55.61780000   5.40193518
  3.06000000   3.06000000 -55.75050000   5.40664930
  3.08500000   3.08500000 -55.88210000   5.41137356
  3.11000000   3.11000000 -56.01250000   5.41608420
  3.13500000   3.13500000 -56.14180000   5.42079815
  3.16000000   3.16000000 -56.27000000   5.42551211
  3.18500000   3.18500000 -56.39710000   5.43022282
  3.21000000   3.21000000 -56.52310000   5.43492702
  3.23500000   3.23500000 -56.64800000   5.43962152
  3.26000000   3.26000000 -56.77190000   5.44432386
  3.28500000   3.28500000 -56.89470000   5.44901028
  3.31000000   3.31000000 -57.01650000   5.45369851
  3.33500000   3.33500000 -57.13730000   5.45838563
  3.36000000   3.36000000 -57.25710000   5.46306874
  3.38500000   3.38500000 -57.37590000   5.46774498
  3.41000000   3.41000000 -57.49380000   5.47243257
  3.43500000   3.43500000 -57.61070000   5.47710775
  3.46000000   3.46000000 -57.72660000   5.48176771
  3.48500000   3.48500000 -57.84160000   5.48643093
  3.51000000   3.51000000 -57.95570000   5.49109483
  3.53500000   3.53500000 -58.06900000   5.49577824
  3.56000000   3.56000000 -58.18130000   5.50043594
  3.58500000   3.58500000 -58.29270000   5.50508673
  3.61000000   3.61000000 -58.40330000   5.50974965
  3.63500000   3.63500000 -58.51300000   5.51440081
  3.66000000   3.66000000 -58.62190000   5.51905942
  3.68500000   3.68500000 -58.72990000   5.52370149
  3.71000000   3.71000000 -58.83710000   5.52834638
  3.73500000   3.73500000 -58.94350000   5.53299186
  3.76000000   3.76000000 -59.04910000   5.53763574
  3.78500000   3.78500000 -59.15390000   5.54227581
  3.81000000   3.81000000 -59.25790000   5.54690989
  3.83500000   3.83500000 -59.36120000   5.55155791
  3.86000000   3.86000000 -59.46370000   5.55619576
  3.88500000   3.88500000 -59.56540000   5.56082129
  3.91000000   3.91000000 -59.66640000   5.56545467
  3.93500000   3.93500000 -59.76660000   5.57007161
  3.96000000   3.96000000 -59.86620000   5.57471484
  3.98500000   3.98500000 -59.96500000   5.57933771
  4.01000000   4.01000000 -60.06310000   5.58396066
  4.03500000   4.03500000 -60.16050000   5.58858183
  4.06000000   4.06000000 -60.25720000   5.59319934
  4.08500000   4.08500000 -60.35330000   5.59783407
  4.11000000   4.11000000 -60.44860000   5.60243879
  4.13500000   4.13500000 -60.54330000   5.60705716
  4.16000000   4.16000000 -60.63740000   5.61168757
  4.18500000   4.18500000 -60.73080000   5.61630540
  4.21000000   4.21000000 -60.82350000   5.62090884
  4.23500000   4.23500000 -60.91560000   5.62551921
  4.26000000   4.26000000 -61.00710000   5.63013492
  4.28500000   4.28500000 -61.09800000   5.63475437
  4.31000000   4.31000000 -61.18820000   5.63935267
  4.33500000   4.33500000 -61.27790000   5.64397482
  4.36000000   4.36000000 -61.36690000   5.64857255
  4.38500000   4.38500000 -61.45540000   5.65319112
  4.41000000   4.41000000 -61.54330000   5.65780563
  4.43500000   4.43500000 -61.63060000   5.66241451
  4.46000000   4.46000000 -61.71730000   5.66701624
  4.48500000   4.48500000 -61.80340000   5.67160928
  4.51000000   4.51000000 -61.88900000   5.67621596
  4.53500000   4.53500000 -61.97410000   5.68083494
  4.56000000   4.56000000 -62.05860000   5.68544096
  4.58500000   4.58500000 -62.14260000   5.69005655
  4.61000000   4.61000000 -62.22600000   5.69465630
  4.63500000   4.63500000 -62.30890000   5.69926289
  4.66000000   4.66000000 -62.39130000   5.70387503
  4.68500000   4.68500000 -62.47310000   5.70846713
