#E_tot          E_tot-Eth     Phase(s) scatt. length
  3.86378000   7.71756000 -58.50850000   3.78140127
  3.88878000   7.74256000 -58.61120000   3.78443889
  3.91378000   7.76756000 -58.72750000   3.78961195
  3.93878000   7.79256000 -58.86170000   3.79758530
  3.96378000   7.81756000 -59.00880000   3.80764312
  3.98878000   7.84256000 -59.16440000   3.81915120
  4.01378000   7.86756000 -59.32550000   3.83167666
  4.03878000   7.89256000 -59.49040000   3.84497641
  4.06378000   7.91756000 -59.65770000   3.85884792
  4.08878000   7.94256000 -59.82670000   3.87319229
  4.11378000   7.96756000 -59.99660000   3.88789230
  4.13878000   7.99256000 -60.16710000   3.90290637
  4.16378000   8.01756000 -60.33780000   3.91817579
  4.18878000   8.04256000 -60.50850000   3.93367218
  4.21378000   8.06756000 -60.67900000   3.94936629
  4.23878000   8.09256000 -60.84920000   3.96524423
  4.26378000   8.11756000 -61.01900000   3.98129167
  4.28878000   8.14256000 -61.18830000   3.99749384
  4.31378000   8.16756000 -61.35700000   4.01383547
  4.33878000   8.19256000 -61.52510000   4.03031757
  4.36378000   8.21756000 -61.69260000   4.04694120
  4.38878000   8.24256000 -61.85930000   4.06367329
  4.41378000   8.26756000 -62.02540000   4.08054848
  4.43878000   8.29256000 -62.19080000   4.09755051
  4.46378000   8.31756000 -62.35540000   4.11466258
  4.48878000   8.34256000 -62.51930000   4.13190255
  4.51378000   8.36756000 -62.68240000   4.14925334
  4.53878000   8.39256000 -62.84480000   4.16673310
  4.56378000   8.41756000 -63.00640000   4.18432442
  4.58878000   8.44256000 -63.16730000   4.20204577
  4.61378000   8.46756000 -63.32750000   4.21989780
  4.63878000   8.49256000 -63.48690000   4.23786269
  4.66378000   8.51756000 -63.64550000   4.25594064
  4.68878000   8.54256000 -63.80350000   4.27416951
  4.71378000   8.56756000 -63.96070000   4.29251249
  4.73878000   8.59256000 -64.11720000   4.31098891
  4.76378000   8.61756000 -64.27300000   4.32959945
  4.78878000   8.64256000 -64.42800000   4.34832530
  4.81378000   8.66756000 -64.58240000   4.36720595
  4.83878000   8.69256000 -64.73610000   4.38622274
  4.86378000   8.71756000 -64.88900000   4.40535635
  4.88878000   8.74256000 -65.04140000   4.42466748
  4.91378000   8.76756000 -65.19300000   4.44409677
  4.93878000   8.79256000 -65.34400000   4.46368546
  4.96378000   8.81756000 -65.49430000   4.48341404
  4.98878000   8.84256000 -65.64400000   4.50330410
  5.01378000   8.86756000 -65.79300000   4.52333578
  5.03878000   8.89256000 -65.94140000   4.54353105
  5.06378000   8.91756000 -66.08910000   4.56386969
  5.08878000   8.94256000 -66.23630000   4.58439575
  5.11378000   8.96756000 -66.38280000   4.60506733
  5.13878000   8.99256000 -66.52880000   4.62592931
  5.16378000   9.01756000 -66.67410000   4.64693900
  5.18878000   9.04256000 -66.81880000   4.66811961
  5.21378000   9.06756000 -66.96300000   4.68949518
  5.23878000   9.09256000 -67.10650000   4.71102181
  5.26378000   9.11756000 -67.24950000   4.73274653
  5.28878000   9.14256000 -67.39190000   4.75464797
  5.31378000   9.16756000 -67.53380000   4.77675113
  5.33878000   9.19256000 -67.67510000   4.79903424
  5.36378000   9.21756000 -67.81580000   4.82149870
  5.38878000   9.24256000 -67.95600000   4.84417025
  5.41378000   9.26756000 -68.09570000   4.86705104
  5.43878000   9.29256000 -68.23480000   4.89011846
  5.46378000   9.31756000 -68.37340000   4.91339901
  5.48878000   9.34256000 -68.51140000   4.93686965
