#E_tot          E_tot-Eth     Phase(s) scatt. length
  0.01000000   0.01000000  -4.26680000   4.80432263
  0.03500000   0.03500000  -7.95730000   4.81130150
  0.06000000   0.06000000 -10.38580000   4.81818820
  0.08500000   0.08500000 -12.32300000   4.82506060
  0.11000000   0.11000000 -13.97510000   4.83190796
  0.13500000   0.13500000 -15.43420000   4.83870987
  0.16000000   0.16000000 -16.75130000   4.84553306
  0.18500000   0.18500000 -17.95780000   4.85231872
  0.21000000   0.21000000 -19.07490000   4.85905786
  0.23500000   0.23500000 -20.11790000   4.86580149
  0.26000000   0.26000000 -21.09790000   4.87251527
  0.28500000   0.28500000 -22.02360000   4.87922201
  0.31000000   0.31000000 -22.90160000   4.88587713
  0.33500000   0.33500000 -23.73760000   4.89253896
  0.36000000   0.36000000 -24.53590000   4.89916614
  0.38500000   0.38500000 -25.30030000   4.90577670
  0.41000000   0.41000000 -26.03390000   4.91236191
  0.43500000   0.43500000 -26.73930000   4.91890560
  0.46000000   0.46000000 -27.41900000   4.92544959
  0.48500000   0.48500000 -28.07490000   4.93197141
  0.51000000   0.51000000 -28.70880000   4.93848036
  0.53500000   0.53500000 -29.32220000   4.94496653
  0.56000000   0.56000000 -29.91640000   4.95141526
  0.58500000   0.58500000 -30.49280000   4.95786149
  0.61000000   0.61000000 -31.05240000   4.96428503
  0.63500000   0.63500000 -31.59620000   4.97068753
  0.66000000   0.66000000 -32.12510000   4.97706936
  0.68500000   0.68500000 -32.63990000   4.98342738
  0.71000000   0.71000000 -33.14130000   4.98975311
  0.73500000   0.73500000 -33.63020000   4.99608798
  0.76000000   0.76000000 -34.10690000   5.00237010
  0.78500000   0.78500000 -34.57230000   5.00866040
  0.81000000   0.81000000 -35.02670000   5.01491509
  0.83500000   0.83500000 -35.47080000   5.02117265
  0.86000000   0.86000000 -35.90480000   5.02738514
  0.88500000   0.88500000 -36.32930000   5.03358482
  0.91000000   0.91000000 -36.74470000   5.03977209
  0.93500000   0.93500000 -37.15130000   5.04593386
  0.96000000   0.96000000 -37.54950000   5.05207976
  0.98500000   0.98500000 -37.93970000   5.05822329
  1.01000000   1.01000000 -38.32200000   5.06432692
  1.03500000   1.03500000 -38.69680000   5.07041114
  1.06000000   1.06000000 -39.06440000   5.07648117
  1.08500000   1.08500000 -39.42510000   5.08254499
  1.11000000   1.11000000 -39.77900000   5.08857697
  1.13500000   1.13500000 -40.12640000   5.09459005
  1.16000000   1.16000000 -40.46760000   5.10059929
  1.18500000   1.18500000 -40.80270000   5.10658569
  1.21000000   1.21000000 -41.13180000   5.11253219
  1.23500000   1.23500000 -41.45530000   5.11847750
  1.26000000   1.26000000 -41.77330000   5.12440788
