#E_tot          E_tot-Eth     Phase(s) scatt. length
  0.01000000   0.01000000  -4.27490000   4.81347696
  0.03500000   0.03500000  -7.97200000   4.82030535
  0.06000000   0.06000000 -10.40450000   4.82705704
  0.08500000   0.08500000 -12.34470000   4.83382574
  0.11000000   0.11000000 -13.99910000   4.84054537
  0.13500000   0.13500000 -15.46020000   4.84727018
  0.16000000   0.16000000 -16.77890000   4.85399172
  0.18500000   0.18500000 -17.98680000   4.86069381
  0.21000000   0.21000000 -19.10530000   4.86740661
  0.23500000   0.23500000 -20.14940000   4.87408609
  0.26000000   0.26000000 -21.13040000   4.88074689
  0.28500000   0.28500000 -22.05700000   4.88740601
  0.31000000   0.31000000 -22.93600000   4.89406235
  0.33500000   0.33500000 -23.77280000   4.90069808
  0.36000000   0.36000000 -24.57190000   4.90731702
  0.38500000   0.38500000 -25.33710000   4.91393428
  0.41000000   0.41000000 -26.07150000   4.92053887
  0.43500000   0.43500000 -26.77780000   4.92713418
  0.46000000   0.46000000 -27.45830000   4.93371755
  0.48500000   0.48500000 -28.11500000   4.94028706
  0.51000000   0.51000000 -28.74970000   4.94685109
  0.53500000   0.53500000 -29.36390000   4.95339890
  0.56000000   0.56000000 -29.95900000   4.95993519
  0.58500000   0.58500000 -30.53630000   4.96647394
  0.61000000   0.61000000 -31.09680000   4.97299454
  0.63500000   0.63500000 -31.64150000   4.97949827
  0.66000000   0.66000000 -32.17140000   4.98600452
  0.68500000   0.68500000 -32.68720000   4.99249030
  0.71000000   0.71000000 -33.18970000   4.99896596
  0.73500000   0.73500000 -33.67970000   5.00545354
  0.76000000   0.76000000 -34.15760000   5.01190979
  0.78500000   0.78500000 -34.62410000   5.01835787
  0.81000000   0.81000000 -35.07970000   5.02479142
  0.83500000   0.83500000 -35.52500000   5.03123009
  0.86000000   0.86000000 -35.96030000   5.03764432
  0.88500000   0.88500000 -36.38620000   5.04406618
  0.91000000   0.91000000 -36.80300000   5.05047751
  0.93500000   0.93500000 -37.21100000   5.05686520
  0.96000000   0.96000000 -37.61070000   5.06325718
  0.98500000   0.98500000 -38.00230000   5.06963038
  1.01000000   1.01000000 -38.38610000   5.07598373
  1.03500000   1.03500000 -38.76260000   5.08235582
  1.06000000   1.06000000 -39.13180000   5.08869732
  1.08500000   1.08500000 -39.49410000   5.09503445
  1.11000000   1.11000000 -39.84970000   5.10135966
  1.13500000   1.13500000 -40.19890000   5.10768589
  1.16000000   1.16000000 -40.54180000   5.11399207
  1.18500000   1.18500000 -40.87870000   5.12029538
  1.21000000   1.21000000 -41.20980000   5.12659675
  1.23500000   1.23500000 -41.53520000   5.13288085
  1.26000000   1.26000000 -41.85510000   5.13915202
  1.28500000   1.28500000 -42.16980000   5.14543418
  1.31000000   1.31000000 -42.47920000   5.15168048
  1.33500000   1.33500000 -42.78370000   5.15793564
  1.36000000   1.36000000 -43.08330000   5.16417342
  1.38500000   1.38500000 -43.37820000   5.17040486
  1.41000000   1.41000000 -43.66860000   5.17664213
  1.43500000   1.43500000 -43.95440000   5.18284416
  1.46000000   1.46000000 -44.23600000   5.18906131
  1.48500000   1.48500000 -44.51330000   5.19525437
  1.51000000   1.51000000 -44.78650000   5.20143930
  1.53500000   1.53500000 -45.05570000   5.20761478
  1.56000000   1.56000000 -45.32110000   5.21379843
  1.58500000   1.58500000 -45.58260000   5.21995406
  1.61000000   1.61000000 -45.84050000   5.22611897
  1.63500000   1.63500000 -46.09470000   5.23225822
  1.66000000   1.66000000 -46.34540000   5.23839219
  1.68500000   1.68500000 -46.59270000   5.24452369
  1.71000000   1.71000000 -46.83660000   5.25063770
  1.73500000   1.73500000 -47.07730000   5.25675647
  1.76000000   1.76000000 -47.31480000   5.26286605
  1.78500000   1.78500000 -47.54910000   5.26895286
  1.81000000   1.81000000 -47.78040000   5.27504073
  1.83500000   1.83500000 -48.00870000   5.28111701
  1.86000000   1.86000000 -48.23410000   5.28718795
  1.88500000   1.88500000 -48.45670000   5.29326030
  1.91000000   1.91000000 -48.67640000   5.29930390
  1.93500000   1.93500000 -48.89340000   5.30534483
  1.96000000   1.96000000 -49.10780000   5.31139100
  1.98500000   1.98500000 -49.31950000   5.31741319
  2.01000000   2.01000000 -49.52870000   5.32343868
  2.03500000   2.03500000 -49.73530000   5.32943877
  2.06000000   2.06000000 -49.93950000   5.33544149
  2.08500000   2.08500000 -50.14130000   5.34143753
  2.11000000   2.11000000 -50.34080000   5.34743677
  2.13500000   2.13500000 -50.53790000   5.35341136
  2.16000000   2.16000000 -50.73270000   5.35937164
  2.18500000   2.18500000 -50.92530000   5.36532829
  2.21000000   2.21000000 -51.11580000   5.37129233
  2.23500000   2.23500000 -51.30410000   5.37723667
