#E_tot          E_tot-Eth     Phase(s) scatt. length
  0.01000000   0.01000000  -4.19890000   4.72759209
  0.03500000   0.03500000  -7.82780000   4.73200956
  0.06000000   0.06000000 -10.21330000   4.73642651
  0.08500000   0.08500000 -12.11430000   4.74083543
  0.11000000   0.11000000 -13.73390000   4.74520129
  0.13500000   0.13500000 -15.16310000   4.74957905
  0.16000000   0.16000000 -16.45190000   4.75393150
  0.18500000   0.18500000 -17.63150000   4.75827262
  0.21000000   0.21000000 -18.72290000   4.76260957
  0.23500000   0.23500000 -19.74100000   4.76693247
  0.26000000   0.26000000 -20.69680000   4.77121856
  0.28500000   0.28500000 -21.59900000   4.77551587
  0.31000000   0.31000000 -22.45420000   4.77979657
  0.33500000   0.33500000 -23.26780000   4.78406072
  0.36000000   0.36000000 -24.04420000   4.78830228
  0.38500000   0.38500000 -24.78720000   4.79254693
  0.41000000   0.41000000 -25.49980000   4.79677022
  0.43500000   0.43500000 -26.18480000   4.80100395
  0.46000000   0.46000000 -26.84430000   4.80520852
  0.48500000   0.48500000 -27.48040000   4.80940812
  0.51000000   0.51000000 -28.09480000   4.81359445
  0.53500000   0.53500000 -28.68900000   4.81776068
  0.56000000   0.56000000 -29.26450000   4.82193432
  0.58500000   0.58500000 -29.82240000   4.82609209
  0.61000000   0.61000000 -30.36380000   4.83023587
  0.63500000   0.63500000 -30.88980000   4.83438800
  0.66000000   0.66000000 -31.40110000   4.83851179
  0.68500000   0.68500000 -31.89870000   4.84264352
  0.71000000   0.71000000 -32.38320000   4.84675683
  0.73500000   0.73500000 -32.85530000   4.85085632
  0.76000000   0.76000000 -33.31570000   4.85495664
  0.78500000   0.78500000 -33.76490000   4.85904438
  0.81000000   0.81000000 -34.20350000   4.86313270
  0.83500000   0.83500000 -34.63190000   4.86720527
  0.86000000   0.86000000 -35.05070000   4.87128862
  0.88500000   0.88500000 -35.46010000   4.87534249
  0.91000000   0.91000000 -35.86070000   4.87940420
  0.93500000   0.93500000 -36.25270000   4.88344363
  0.96000000   0.96000000 -36.63660000   4.88748876
  0.98500000   0.98500000 -37.01260000   4.89151775
  1.01000000   1.01000000 -37.38110000   4.89554793
  1.03500000   1.03500000 -37.74240000   4.89958200
  1.06000000   1.06000000 -38.09660000   4.90359028
  1.08500000   1.08500000 -38.44410000   4.90759882
  1.11000000   1.11000000 -38.78520000   4.91161838
  1.13500000   1.13500000 -39.11990000   4.91560934
  1.16000000   1.16000000 -39.44860000   4.91960443
  1.18500000   1.18500000 -39.77150000   4.92360322
  1.21000000   1.21000000 -40.08870000   4.92758960
  1.23500000   1.23500000 -40.40040000   4.93156668
  1.26000000   1.26000000 -40.70680000   4.93553911
  1.28500000   1.28500000 -41.00810000   4.93951298
  1.31000000   1.31000000 -41.30450000   4.94349573
  1.33500000   1.33500000 -41.59590000   4.94744389
  1.36000000   1.36000000 -41.88280000   4.95141956
  1.38500000   1.38500000 -42.16500000   4.95536422
  1.41000000   1.41000000 -42.44290000   4.95932471
  1.43500000   1.43500000 -42.71640000   4.96326194
  1.46000000   1.46000000 -42.98580000   4.96720728
  1.48500000   1.48500000 -43.25120000   4.97115823
  1.51000000   1.51000000 -43.51260000   4.97509569
  1.53500000   1.53500000 -43.77020000   4.97903615
  1.56000000   1.56000000 -44.02400000   4.98296202
  1.58500000   1.58500000 -44.27420000   4.98689122
  1.61000000   1.61000000 -44.52090000   4.99082493
  1.63500000   1.63500000 -44.76410000   4.99474754
  1.66000000   1.66000000 -45.00390000   4.99866142
