#E_tot          E_tot-Eth     Phase(s) scatt. length
  0.01660000   2.95340000  24.41280000 -16.04093775
  0.04160000   2.97840000  23.05530000  -9.50174224
  0.06660000   3.00340000  22.04060000  -7.14317785
  0.09160000   3.02840000  21.18230000  -5.83014020
  0.11660000   3.05340000  20.41930000  -4.96425694
  0.14160000   3.07840000  19.72200000  -4.33783593
  0.16660000   3.10340000  19.07360000  -3.85724582
  0.19160000   3.12840000  18.46330000  -3.47320560
  0.21660000   3.15340000  17.88380000  -3.15700380
  0.24160000   3.17840000  17.32990000  -2.89063002
  0.26660000   3.20340000  16.79760000  -2.66211333
  0.29160000   3.22840000  16.28400000  -2.46318623
  0.31660000   3.25340000  15.78680000  -2.28790934
  0.34160000   3.27840000  15.30400000  -2.13187028
  0.36660000   3.30340000  14.83430000  -1.99177633
  0.39160000   3.32840000  14.37630000  -1.86503577
  0.41660000   3.35340000  13.92910000  -1.74964640
  0.44160000   3.37840000  13.49170000  -1.64397654
  0.46660000   3.40340000  13.06350000  -1.54673659
  0.49160000   3.42840000  12.64390000  -1.45685792
  0.51660000   3.45340000  12.23220000  -1.37343368
  0.54160000   3.47840000  11.82810000  -1.29574110
  0.56660000   3.50340000  11.43120000  -1.22315375
  0.59160000   3.52840000  11.04110000  -1.15513339
  0.61660000   3.55340000  10.65740000  -1.09121417
  0.64160000   3.57840000  10.27990000  -1.03101065
  0.66660000   3.60340000   9.90840000  -0.97418565
  0.69160000   3.62840000   9.54260000  -0.92043271
  0.71660000   3.65340000   9.18230000  -0.86949008
  0.74160000   3.67840000   8.82730000  -0.82112516
  0.76660000   3.70340000   8.47750000  -0.77513959
  0.79160000   3.72840000   8.13270000  -0.73134674
  0.81660000   3.75340000   7.79270000  -0.68957863
  0.84160000   3.77840000   7.45740000  -0.64969232
  0.86660000   3.80340000   7.12670000  -0.61155848
  0.89160000   3.82840000   6.80050000  -0.57505971
  0.91660000   3.85340000   6.47850000  -0.54007232
  0.94160000   3.87840000   6.16080000  -0.50651602
  0.96660000   3.90340000   5.84730000  -0.47430141
  0.99160000   3.92840000   5.53770000  -0.44333033
  1.01660000   3.95340000   5.23210000  -0.41354381
  1.04160000   3.97840000   4.93030000  -0.38486432
  1.06660000   4.00340000   4.63220000  -0.35722775
  1.09160000   4.02840000   4.33780000  -0.33058234
  1.11660000   4.05340000   4.04700000  -0.30487267
  1.14160000   4.07840000   3.75960000  -0.28003970
  1.16660000   4.10340000   3.47570000  -0.25605042
  1.19160000   4.12840000   3.19510000  -0.23285240
  1.21660000   4.15340000   2.91780000  -0.21041092
  1.24160000   4.17840000   2.64370000  -0.18868644
  1.26660000   4.20340000   2.37280000  -0.16764893
  1.29160000   4.22840000   2.10490000  -0.14725631
  1.31660000   4.25340000   1.84000000  -0.12748270
  1.34160000   4.27840000   1.57800000  -0.10829697
  1.36660000   4.30340000   1.31890000  -0.08967655
  1.39160000   4.32840000   1.06270000  -0.07160021
  1.41660000   4.35340000   0.80920000  -0.05403463
  1.44160000   4.37840000   0.55850000  -0.03696797
  1.46660000   4.40340000   0.31040000  -0.02036954
  1.49160000   4.42840000   0.06490000  -0.00422308
  1.51660000   4.45340000  -0.17790000   0.01148029
  1.54160000   4.47840000  -0.41830000   0.02677446
  1.56660000   4.50340000  -0.65610000   0.04166016
  1.59160000   4.52840000  -0.89150000   0.05616302
  1.61660000   4.55340000  -1.12450000   0.07029508
  1.64160000   4.57840000  -1.35510000   0.08406780
  1.66660000   4.60340000  -1.58340000   0.09749819
  1.69160000   4.62840000  -1.80930000   0.11059033
  1.71660000   4.65340000  -2.03300000   0.12336619
  1.74160000   4.67840000  -2.25440000   0.13582884
  1.76660000   4.70340000  -2.47350000   0.14798706
  1.79160000   4.72840000  -2.69050000   0.15986112
  1.81660000   4.75340000  -2.90520000   0.17144697
  1.84160000   4.77840000  -3.11770000   0.18275809
  1.86660000   4.80340000  -3.32800000   0.19380166
  1.89160000   4.82840000  -3.53610000   0.20458453
  1.91660000   4.85340000  -3.74200000   0.21511325
  1.94160000   4.87840000  -3.94570000   0.22539407
  1.96660000   4.90340000  -4.14720000   0.23543301
  1.99160000   4.92840000  -4.34650000   0.24523579
  2.01660000   4.95340000  -4.54340000   0.25479666
  2.04160000   4.97840000  -4.73810000   0.26413227
  2.06660000   5.00340000  -4.93040000   0.27323654
  2.09160000   5.02840000  -5.12020000   0.28210895
  2.11660000   5.05340000  -5.30760000   0.29075993
  2.14160000   5.07840000  -5.49230000   0.29917767
  2.16660000   5.10340000  -5.67420000   0.30736141
  2.19160000   5.12840000  -5.85320000   0.31531034
  2.21660000   5.15340000  -6.02900000   0.32301277
  2.24160000   5.17840000  -6.20130000   0.33045717
  2.26660000   5.20340000  -6.36970000   0.33762680
  2.29160000   5.22840000  -6.53360000   0.34449453
  2.31660000   5.25340000  -6.69230000   0.35102836
  2.34160000   5.27840000  -6.84430000   0.35715468
  2.36660000   5.30340000  -6.98740000   0.36276445
  2.39160000   5.32840000  -7.11330000   0.36743222
  2.41660000   5.35340000  -6.97560000   0.35837970
  2.44160000   5.37840000  -6.42170000   0.32798021
  2.46660000   5.40340000  -5.75690000   0.29229089
  2.49160000   5.42840000  -5.10460000   0.25768240
  2.51660000   5.45340000  -4.49780000   0.22578623
  2.54160000   5.47840000  -3.94210000   0.19682085
  2.56660000   5.50340000  -3.43420000   0.17056033
  2.59160000   5.52840000  -2.96910000   0.14670362
  2.61660000   5.55340000  -2.54150000   0.12494458
  2.64160000   5.57840000  -2.14660000   0.10501029
  2.66660000   5.60340000  -1.78020000   0.08666438
  2.69160000   5.62840000  -1.43870000   0.06970554
  2.71660000   5.65340000  -1.11920000   0.05397108
  2.74160000   5.67840000  -0.81900000   0.03931176
  2.76660000   5.70340000  -0.53590000   0.02560556
  2.79160000   5.72840000  -0.26800000   0.01274742
  2.81660000   5.75340000  -0.01370000   0.00064874
  2.84160000   5.77840000   0.22840000  -0.01076782
  2.86660000   5.80340000   0.45970000  -0.02157800
  2.89160000   5.82840000   0.68110000  -0.03183268
  2.91660000   5.85340000   0.89360000  -0.04158636
  2.94160000   5.87840000   1.09810000  -0.05088787
  2.96660000   5.90340000   1.29540000  -0.05978048
  2.99160000   5.92840000   1.48610000  -0.06829748
  3.01660000   5.95340000   1.67080000  -0.07647152
  3.04160000   5.97840000   1.85000000  -0.08433011
  3.06660000   6.00340000   2.02430000  -0.09190478
  3.09160000   6.02840000   2.19400000  -0.09921294
  3.11660000   6.05340000   2.35970000  -0.10628523
  3.14160000   6.07840000   2.52150000  -0.11312928
