Energy Eta
3.370000000000000218e-01 2.116480000000000028e-01
3.390000000000000235e-01 2.715790000000000148e-01
3.410000000000000253e-01 3.005380000000000273e-01
3.430000000000000271e-01 3.188570000000000015e-01
3.449999999999999734e-01 3.315899999999999959e-01
3.469999999999999751e-01 3.408610000000000251e-01
3.489999999999999769e-01 3.477870000000000128e-01
3.509999999999999787e-01 3.530289999999999817e-01
3.529999999999999805e-01 3.570160000000000000e-01
3.549999999999999822e-01 3.600380000000000247e-01
3.569999999999999840e-01 3.623040000000000149e-01
3.589999999999999858e-01 3.639640000000000097e-01
3.609999999999999876e-01 3.651340000000000141e-01
3.629999999999999893e-01 3.659009999999999763e-01
3.649999999999999911e-01 3.663359999999999950e-01
3.669999999999999929e-01 3.664930000000000132e-01
3.689999999999999947e-01 3.664180000000000215e-01
3.709999999999999964e-01 3.661470000000000002e-01
3.729999999999999982e-01 3.657110000000000083e-01
3.750000000000000000e-01 3.651340000000000141e-01
3.770000000000000018e-01 3.644390000000000129e-01
3.790000000000000036e-01 3.636420000000000208e-01
3.810000000000000053e-01 3.627600000000000269e-01
3.830000000000000071e-01 3.618049999999999877e-01
3.850000000000000089e-01 3.607879999999999976e-01
3.870000000000000107e-01 3.597190000000000110e-01
3.890000000000000124e-01 3.586059999999999803e-01
3.910000000000000142e-01 3.574570000000000247e-01
3.930000000000000160e-01 3.562770000000000103e-01
3.950000000000000178e-01 3.550710000000000255e-01
3.970000000000000195e-01 3.538459999999999939e-01
3.990000000000000213e-01 3.526039999999999730e-01
4.010000000000000231e-01 3.513499999999999956e-01
4.030000000000000249e-01 3.500860000000000083e-01
4.050000000000000266e-01 3.488149999999999862e-01
4.069999999999999729e-01 3.475409999999999888e-01
4.089999999999999747e-01 3.462640000000000162e-01
4.109999999999999765e-01 3.449880000000000169e-01
4.129999999999999782e-01 3.437129999999999908e-01
4.149999999999999800e-01 3.424409999999999954e-01
4.169999999999999818e-01 3.411730000000000040e-01
4.189999999999999836e-01 3.399110000000000187e-01
4.209999999999999853e-01 3.386549999999999838e-01
4.229999999999999871e-01 3.374070000000000125e-01
4.249999999999999889e-01 3.361669999999999936e-01
4.269999999999999907e-01 3.349349999999999827e-01
4.289999999999999925e-01 3.337129999999999819e-01
4.309999999999999942e-01 3.325009999999999910e-01
4.329999999999999960e-01 3.312990000000000101e-01
4.349999999999999978e-01 3.301069999999999838e-01
4.369999999999999996e-01 3.289270000000000249e-01
4.390000000000000013e-01 3.277570000000000205e-01
4.410000000000000031e-01 3.265989999999999727e-01
