Energy PhaseShift
3.370000000000000218e-01 8.432219999999999516e+01
3.390000000000000235e-01 8.420720000000000027e+01
3.410000000000000253e-01 8.398510000000000275e+01
3.430000000000000271e-01 8.371229999999999905e+01
3.449999999999999734e-01 8.340850000000000364e+01
3.469999999999999751e-01 8.308339999999999748e+01
3.489999999999999769e-01 8.274339999999999407e+01
3.509999999999999787e-01 8.239230000000000587e+01
3.529999999999999805e-01 8.203319999999999368e+01
3.549999999999999822e-01 8.166809999999999548e+01
3.569999999999999840e-01 8.129869999999999663e+01
3.589999999999999858e-01 8.092619999999999436e+01
3.609999999999999876e-01 8.055159999999999343e+01
3.629999999999999893e-01 8.017570000000000618e+01
3.649999999999999911e-01 7.979919999999999902e+01
3.669999999999999929e-01 7.942260000000000275e+01
3.689999999999999947e-01 7.904630000000000223e+01
3.709999999999999964e-01 7.867059999999999320e+01
3.729999999999999982e-01 7.829600000000000648e+01
3.750000000000000000e-01 7.792249999999999943e+01
3.770000000000000018e-01 7.755039999999999623e+01
3.790000000000000036e-01 7.718000000000000682e+01
3.810000000000000053e-01 7.681130000000000280e+01
3.830000000000000071e-01 7.644440000000000168e+01
3.850000000000000089e-01 7.607940000000000680e+01
3.870000000000000107e-01 7.571649999999999636e+01
3.890000000000000124e-01 7.535569999999999879e+01
3.910000000000000142e-01 7.499710000000000321e+01
3.930000000000000160e-01 7.464060000000000628e+01
3.950000000000000178e-01 7.428640000000000043e+01
3.970000000000000195e-01 7.393439999999999657e+01
3.990000000000000213e-01 7.358469999999999800e+01
4.010000000000000231e-01 7.323739999999999384e+01
4.030000000000000249e-01 7.289230000000000587e+01
4.050000000000000266e-01 7.254949999999999477e+01
4.069999999999999729e-01 7.220910000000000650e+01
4.089999999999999747e-01 7.187090000000000600e+01
4.109999999999999765e-01 7.153509999999999991e+01
4.129999999999999782e-01 7.120159999999999911e+01
4.149999999999999800e-01 7.087040000000000362e+01
4.169999999999999818e-01 7.054139999999999588e+01
4.189999999999999836e-01 7.021479999999999677e+01
4.209999999999999853e-01 6.989029999999999632e+01
4.229999999999999871e-01 6.956820000000000448e+01
4.249999999999999889e-01 6.924819999999999709e+01
4.269999999999999907e-01 6.893049999999999500e+01
4.289999999999999925e-01 6.861499999999999488e+01
4.309999999999999942e-01 6.830169999999999675e+01
4.329999999999999960e-01 6.799049999999999727e+01
4.349999999999999978e-01 6.768139999999999645e+01
4.369999999999999996e-01 6.737449999999999761e+01
4.390000000000000013e-01 6.706969999999999743e+01
4.410000000000000031e-01 6.676699999999999591e+01
4.430000000000000049e-01 6.646630000000000393e+01
4.450000000000000067e-01 6.616769999999999641e+01
4.470000000000000084e-01 6.587109999999999843e+01
4.490000000000000102e-01 6.557649999999999579e+01
4.510000000000000120e-01 6.528390000000000271e+01
4.530000000000000138e-01 6.499320000000000164e+01
4.550000000000000155e-01 6.470449999999999591e+01
4.570000000000000173e-01 6.441779999999999973e+01
4.590000000000000191e-01 6.413290000000000646e+01
4.610000000000000209e-01 6.384989999999999810e+01
4.630000000000000226e-01 6.356880000000000308e+01
4.650000000000000244e-01 6.328949999999999676e+01
4.670000000000000262e-01 6.301209999999999667e+01
4.689999999999999725e-01 6.273649999999999949e+01
4.709999999999999742e-01 6.246269999999999811e+01
4.729999999999999760e-01 6.219060000000000343e+01
4.749999999999999778e-01 6.192029999999999745e+01
4.769999999999999796e-01 6.165169999999999817e+01
4.789999999999999813e-01 6.138490000000000180e+01
4.809999999999999831e-01 6.111970000000000169e+01
4.829999999999999849e-01 6.085620000000000118e+01
4.849999999999999867e-01 6.059440000000000026e+01
4.869999999999999885e-01 6.033429999999999893e+01
4.889999999999999902e-01 6.007569999999999766e+01
4.909999999999999920e-01 5.981880000000000308e+01
4.929999999999999938e-01 5.956349999999999767e+01
4.949999999999999956e-01 5.930980000000000274e+01
4.969999999999999973e-01 5.905760000000000076e+01
4.989999999999999991e-01 5.880700000000000216e+01
5.010000000000000009e-01 5.855789999999999651e+01
5.030000000000000027e-01 5.831029999999999802e+01
5.050000000000000044e-01 5.806419999999999959e+01
5.070000000000000062e-01 5.781969999999999743e+01
5.090000000000000080e-01 5.757650000000000290e+01
5.110000000000000098e-01 5.733489999999999753e+01
5.130000000000000115e-01 5.709470000000000312e+01
5.150000000000000133e-01 5.685589999999999833e+01
5.170000000000000151e-01 5.661849999999999739e+01
5.190000000000000169e-01 5.638250000000000028e+01
5.210000000000000187e-01 5.614789999999999992e+01
5.230000000000000204e-01 5.591470000000000340e+01
5.250000000000000222e-01 5.568289999999999651e+01
5.270000000000000240e-01 5.545230000000000103e+01
5.290000000000000258e-01 5.522319999999999851e+01
5.310000000000000275e-01 5.499530000000000030e+01
5.330000000000000293e-01 5.476870000000000260e+01
5.350000000000000311e-01 5.454339999999999833e+01
5.370000000000000329e-01 5.431949999999999790e+01
5.390000000000000346e-01 5.409669999999999845e+01
5.410000000000000364e-01 5.387530000000000285e+01
5.430000000000000382e-01 5.365500000000000114e+01
5.450000000000000400e-01 5.343599999999999994e+01
5.470000000000000417e-01 5.321829999999999927e+01
5.490000000000000435e-01 5.300169999999999959e+01
5.510000000000000453e-01 5.278629999999999711e+01
5.530000000000000471e-01 5.257209999999999894e+01
5.550000000000000488e-01 5.235909999999999798e+01
5.570000000000000506e-01 5.214719999999999800e+01
5.590000000000000524e-01 5.193650000000000233e+01
5.610000000000000542e-01 5.172699999999999676e+01
5.629999999999999449e-01 5.151850000000000307e+01
5.649999999999999467e-01 5.131119999999999948e+01
5.669999999999999485e-01 5.110499999999999687e+01
5.689999999999999503e-01 5.089990000000000236e+01
5.709999999999999520e-01 5.069590000000000174e+01
5.729999999999999538e-01 5.049300000000000210e+01
5.749999999999999556e-01 5.029110000000000014e+01
5.769999999999999574e-01 5.009029999999999916e+01
5.789999999999999591e-01 4.989050000000000296e+01
5.809999999999999609e-01 4.969180000000000064e+01
5.829999999999999627e-01 4.949410000000000309e+01
5.849999999999999645e-01 4.929749999999999943e+01
5.869999999999999662e-01 4.910179999999999723e+01
5.889999999999999680e-01 4.890720000000000312e+01
5.909999999999999698e-01 4.871350000000000335e+01
5.929999999999999716e-01 4.852089999999999748e+01
5.949999999999999734e-01 4.832920000000000016e+01
5.969999999999999751e-01 4.813850000000000051e+01
5.989999999999999769e-01 4.794870000000000232e+01
6.009999999999999787e-01 4.775990000000000180e+01
6.029999999999999805e-01 4.757200000000000273e+01
6.049999999999999822e-01 4.738510000000000133e+01
6.069999999999999840e-01 4.719910000000000139e+01
6.089999999999999858e-01 4.701400000000000290e+01
6.109999999999999876e-01 4.682979999999999876e+01
6.129999999999999893e-01 4.664659999999999940e+01
6.149999999999999911e-01 4.646419999999999817e+01
6.169999999999999929e-01 4.628269999999999840e+01
6.189999999999999947e-01 4.610210000000000008e+01
6.209999999999999964e-01 4.592240000000000322e+01
6.229999999999999982e-01 4.574349999999999739e+01
6.250000000000000000e-01 4.556550000000000011e+01
6.270000000000000018e-01 4.538839999999999719e+01
6.290000000000000036e-01 4.521209999999999951e+01
6.310000000000000053e-01 4.503659999999999997e+01
6.330000000000000071e-01 4.486200000000000188e+01
6.350000000000000089e-01 4.468820000000000192e+01
6.370000000000000107e-01 4.451520000000000010e+01
6.390000000000000124e-01 4.434300000000000352e+01
6.410000000000000142e-01 4.417159999999999798e+01
6.430000000000000160e-01 4.400099999999999767e+01
6.450000000000000178e-01 4.383120000000000260e+01
6.470000000000000195e-01 4.366219999999999857e+01
6.490000000000000213e-01 4.349399999999999977e+01
6.510000000000000231e-01 4.332650000000000290e+01
6.530000000000000249e-01 4.315979999999999706e+01
6.550000000000000266e-01 4.299389999999999645e+01
6.570000000000000284e-01 4.282869999999999777e+01
6.590000000000000302e-01 4.266420000000000101e+01
6.610000000000000320e-01 4.250050000000000239e+01
6.630000000000000338e-01 4.233760000000000190e+01
6.650000000000000355e-01 4.217530000000000001e+01
6.670000000000000373e-01 4.201380000000000337e+01
6.690000000000000391e-01 4.185300000000000153e+01
6.710000000000000409e-01 4.169299999999999784e+01
6.730000000000000426e-01 4.153359999999999985e+01
6.750000000000000444e-01 4.137489999999999668e+01
6.770000000000000462e-01 4.121699999999999875e+01
6.790000000000000480e-01 4.105969999999999942e+01
6.810000000000000497e-01 4.090310000000000201e+01
6.830000000000000515e-01 4.074719999999999942e+01
6.850000000000000533e-01 4.059190000000000254e+01
6.870000000000000551e-01 4.043739999999999668e+01
6.889999999999999458e-01 4.028349999999999653e+01
6.909999999999999476e-01 4.013020000000000209e+01
6.929999999999999494e-01 3.997760000000000247e+01
6.949999999999999512e-01 3.982569999999999766e+01
6.969999999999999529e-01 3.967439999999999856e+01
6.989999999999999547e-01 3.952380000000000138e+01
7.009999999999999565e-01 3.937369999999999948e+01
7.029999999999999583e-01 3.922440000000000282e+01
7.049999999999999600e-01 3.907560000000000144e+01
7.069999999999999618e-01 3.892750000000000199e+01
7.089999999999999636e-01 3.878000000000000114e+01
7.109999999999999654e-01 3.863300000000000267e+01
7.129999999999999671e-01 3.848680000000000234e+01
7.149999999999999689e-01 3.834109999999999729e+01
7.169999999999999707e-01 3.819599999999999795e+01
7.189999999999999725e-01 3.805149999999999721e+01
7.209999999999999742e-01 3.790760000000000218e+01
7.229999999999999760e-01 3.776429999999999865e+01
7.249999999999999778e-01 3.762149999999999750e+01
7.269999999999999796e-01 3.747939999999999827e+01
7.289999999999999813e-01 3.733780000000000143e+01
7.309999999999999831e-01 3.719680000000000319e+01
7.329999999999999849e-01 3.705639999999999645e+01
7.349999999999999867e-01 3.691649999999999920e+01
7.369999999999999885e-01 3.677720000000000056e+01
7.389999999999999902e-01 3.663839999999999719e+01
7.409999999999999920e-01 3.650019999999999953e+01
7.429999999999999938e-01 3.636249999999999716e+01
7.449999999999999956e-01 3.622540000000000049e+01
7.469999999999999973e-01 3.608879999999999910e+01
7.489999999999999991e-01 3.595280000000000342e+01
7.510000000000000009e-01 3.581730000000000302e+01
7.530000000000000027e-01 3.568229999999999791e+01
7.550000000000000044e-01 3.554780000000000229e+01
7.570000000000000062e-01 3.541389999999999816e+01
7.590000000000000080e-01 3.528050000000000352e+01
7.610000000000000098e-01 3.514759999999999707e+01
7.630000000000000115e-01 3.501520000000000010e+01
7.650000000000000133e-01 3.488329999999999842e+01
7.670000000000000151e-01 3.475200000000000244e+01
7.690000000000000169e-01 3.462109999999999843e+01
7.710000000000000187e-01 3.449069999999999681e+01
7.730000000000000204e-01 3.436079999999999757e+01
7.750000000000000222e-01 3.423140000000000072e+01
7.770000000000000240e-01 3.410249999999999915e+01
7.790000000000000258e-01 3.397409999999999997e+01
7.810000000000000275e-01 3.384620000000000317e+01
7.830000000000000293e-01 3.371880000000000166e+01
7.850000000000000311e-01 3.359179999999999922e+01
7.870000000000000329e-01 3.346529999999999916e+01
7.890000000000000346e-01 3.333930000000000149e+01
7.910000000000000364e-01 3.321370000000000289e+01
7.930000000000000382e-01 3.308859999999999957e+01
7.950000000000000400e-01 3.296399999999999864e+01
7.970000000000000417e-01 3.283979999999999677e+01
7.990000000000000435e-01 3.271609999999999729e+01
8.010000000000000453e-01 3.259279999999999688e+01
8.030000000000000471e-01 3.246999999999999886e+01
8.050000000000000488e-01 3.234759999999999991e+01
8.070000000000000506e-01 3.222570000000000334e+01
8.090000000000000524e-01 3.210419999999999874e+01
8.110000000000000542e-01 3.198320000000000007e+01
8.129999999999999449e-01 3.186260000000000048e+01
8.149999999999999467e-01 3.174239999999999995e+01
8.169999999999999485e-01 3.162269999999999825e+01
8.189999999999999503e-01 3.150339999999999918e+01
8.209999999999999520e-01 3.138449999999999918e+01
8.229999999999999538e-01 3.126599999999999824e+01
8.249999999999999556e-01 3.114799999999999969e+01
8.269999999999999574e-01 3.103040000000000020e+01
8.289999999999999591e-01 3.091319999999999979e+01
8.309999999999999609e-01 3.079639999999999844e+01
8.329999999999999627e-01 3.067999999999999972e+01
8.349999999999999645e-01 3.056400000000000006e+01
8.369999999999999662e-01 3.044849999999999923e+01
8.389999999999999680e-01 3.033330000000000126e+01
8.409999999999999698e-01 3.021859999999999857e+01
8.429999999999999716e-01 3.010419999999999874e+01
8.449999999999999734e-01 2.999020000000000152e+01
8.469999999999999751e-01 2.987669999999999959e+01
8.489999999999999769e-01 2.976350000000000051e+01
8.509999999999999787e-01 2.965070000000000050e+01
8.529999999999999805e-01 2.953839999999999932e+01
8.549999999999999822e-01 2.942640000000000100e+01
8.569999999999999840e-01 2.931480000000000175e+01
8.589999999999999858e-01 2.920349999999999824e+01
8.609999999999999876e-01 2.909270000000000067e+01
8.629999999999999893e-01 2.898219999999999885e+01
8.649999999999999911e-01 2.887209999999999965e+01
8.669999999999999929e-01 2.876239999999999952e+01
8.689999999999999947e-01 2.865299999999999869e+01
8.709999999999999964e-01 2.854410000000000025e+01
8.729999999999999982e-01 2.843540000000000134e+01
8.750000000000000000e-01 2.832720000000000127e+01
8.770000000000000018e-01 2.821930000000000049e+01
8.790000000000000036e-01 2.811179999999999879e+01
8.810000000000000053e-01 2.800459999999999994e+01
8.830000000000000071e-01 2.789789999999999992e+01
8.850000000000000089e-01 2.779139999999999944e+01
8.870000000000000107e-01 2.768530000000000157e+01
8.890000000000000124e-01 2.757959999999999923e+01
8.910000000000000142e-01 2.747419999999999973e+01
8.930000000000000160e-01 2.736919999999999931e+01
8.950000000000000178e-01 2.726450000000000173e+01
8.970000000000000195e-01 2.716019999999999968e+01
8.990000000000000213e-01 2.705620000000000047e+01
9.010000000000000231e-01 2.695250000000000057e+01
9.030000000000000249e-01 2.684919999999999973e+01
9.050000000000000266e-01 2.674620000000000175e+01
9.070000000000000284e-01 2.664359999999999928e+01
9.090000000000000302e-01 2.654129999999999967e+01
9.110000000000000320e-01 2.643939999999999912e+01
9.130000000000000338e-01 2.633770000000000167e+01
9.150000000000000355e-01 2.623639999999999972e+01
9.170000000000000373e-01 2.613550000000000040e+01
9.190000000000000391e-01 2.603480000000000061e+01
9.210000000000000409e-01 2.593449999999999989e+01
9.230000000000000426e-01 2.583449999999999847e+01
9.250000000000000444e-01 2.573479999999999990e+01
9.270000000000000462e-01 2.563550000000000040e+01
9.290000000000000480e-01 2.553650000000000020e+01
9.310000000000000497e-01 2.543779999999999930e+01
9.330000000000000515e-01 2.533940000000000126e+01
9.350000000000000533e-01 2.524129999999999896e+01
9.370000000000000551e-01 2.514349999999999952e+01
9.389999999999999458e-01 2.504609999999999914e+01
9.409999999999999476e-01 2.494900000000000162e+01
9.429999999999999494e-01 2.485210000000000008e+01
9.449999999999999512e-01 2.475560000000000116e+01
9.469999999999999529e-01 2.465940000000000154e+01
9.489999999999999547e-01 2.456350000000000122e+01
9.509999999999999565e-01 2.446790000000000020e+01
9.529999999999999583e-01 2.437259999999999849e+01
9.549999999999999600e-01 2.427759999999999962e+01
9.569999999999999618e-01 2.418290000000000006e+01
9.589999999999999636e-01 2.408849999999999980e+01
9.609999999999999654e-01 2.399439999999999884e+01
9.629999999999999671e-01 2.390060000000000073e+01
9.649999999999999689e-01 2.380709999999999837e+01
