# Energy CrossSection
1.970000000000000084e-01 2.295622283048223355e+00
1.980000000000000093e-01 2.148120545707070228e+00
1.990000000000000102e-01 2.046538932364321717e+00
2.000000000000000111e-01 1.965503556000000041e+00
2.010000000000000120e-01 1.896916226390547244e+00
2.020000000000000129e-01 1.836926981111385970e+00
2.030000000000000138e-01 1.783339693125615355e+00
2.039999999999999869e-01 1.734764724022058946e+00
2.049999999999999878e-01 1.690251148839024387e+00
2.059999999999999887e-01 1.649120190291262222e+00
2.069999999999999896e-01 1.610851988466183826e+00
2.079999999999999905e-01 1.575057386252403990e+00
2.089999999999999913e-01 1.541425962318181853e+00
2.099999999999999922e-01 1.509701378438095265e+00
2.109999999999999931e-01 1.479673842691943353e+00
2.119999999999999940e-01 1.451177000235849501e+00
2.129999999999999949e-01 1.424059580115023538e+00
2.139999999999999958e-01 1.398198856831775583e+00
2.149999999999999967e-01 1.373488220988372088e+00
2.159999999999999976e-01 1.349829155391203406e+00
2.169999999999999984e-01 1.327144738147465253e+00
2.179999999999999993e-01 1.305361159963302597e+00
2.190000000000000002e-01 1.284414389043378790e+00
2.200000000000000011e-01 1.264246262627272577e+00
2.210000000000000020e-01 1.244804178843891496e+00
2.220000000000000029e-01 1.226044135360360166e+00
2.230000000000000038e-01 1.207927013892376777e+00
2.240000000000000047e-01 1.190408562892857347e+00
2.250000000000000056e-01 1.173459012499999954e+00
2.260000000000000064e-01 1.157046401170353844e+00
2.270000000000000073e-01 1.141139846202642971e+00
2.280000000000000082e-01 1.125712636160087543e+00
2.290000000000000091e-01 1.110738930185589668e+00
2.300000000000000100e-01 1.096202981878260818e+00
2.310000000000000109e-01 1.082074217318181875e+00
2.320000000000000118e-01 1.068341251053879226e+00
2.330000000000000127e-01 1.054980984225321938e+00
2.340000000000000135e-01 1.041976999692307837e+00
2.349999999999999867e-01 1.029316327157446809e+00
2.359999999999999876e-01 1.016980496951271240e+00
2.369999999999999885e-01 1.004957410888185798e+00
2.379999999999999893e-01 9.932353111344539576e-01
2.389999999999999902e-01 9.817999017259413375e-01
2.399999999999999911e-01 9.706401364083334649e-01
2.409999999999999920e-01 9.597452718360995894e-01
2.419999999999999929e-01 9.491076576219008576e-01
2.429999999999999938e-01 9.387142818292180113e-01
2.439999999999999947e-01 9.285580076147542661e-01
2.449999999999999956e-01 9.186264025000001610e-01
2.459999999999999964e-01 9.089155252032520282e-01
2.469999999999999973e-01 8.994188231255062504e-01
2.479999999999999982e-01 8.901245482580646406e-01
2.489999999999999991e-01 8.810265837128515853e-01
2.500000000000000000e-01 8.721189622080001147e-01
2.510000000000000009e-01 8.633984844641434675e-01
2.520000000000000018e-01 8.548542050019840577e-01
2.530000000000000027e-01 8.464832202450591758e-01
2.540000000000000036e-01 8.382775484724410697e-01
2.550000000000000044e-01 8.302345095078432768e-01
2.560000000000000053e-01 8.223489431328123711e-01
2.570000000000000062e-01 8.146132922976652146e-01
2.580000000000000071e-01 8.070276874437983805e-01
2.590000000000000080e-01 7.995823012374517758e-01
2.600000000000000089e-01 7.922774223076921585e-01
2.610000000000000098e-01 7.851084125076628339e-01
2.620000000000000107e-01 7.780683022900762857e-01
2.630000000000000115e-01 7.711551298878327465e-01
2.640000000000000124e-01 7.643645645625000151e-01
2.650000000000000133e-01 7.576971551113207415e-01
2.660000000000000142e-01 7.511439197669171897e-01
2.670000000000000151e-01 7.447055351479399121e-01
2.680000000000000160e-01 7.383779563600745277e-01
2.690000000000000169e-01 7.321572271840149915e-01
2.700000000000000178e-01 7.260417966685183133e-01
2.710000000000000187e-01 7.200278369298892533e-01
2.720000000000000195e-01 7.141116026488970592e-01
2.730000000000000204e-01 7.082962625934065004e-01
2.740000000000000213e-01 7.025713158412408843e-01
2.750000000000000222e-01 6.969422584163634804e-01
2.760000000000000231e-01 6.914010216684782772e-01
2.770000000000000240e-01 6.859463920740072052e-01
2.780000000000000249e-01 6.805793898129496311e-01
2.790000000000000258e-01 6.752944048458779935e-01
2.800000000000000266e-01 6.700925108642855621e-01
2.810000000000000275e-01 6.649682249110319132e-01
2.819999999999999729e-01 6.599226706400710407e-01
2.829999999999999738e-01 6.549526383674911800e-01
2.839999999999999747e-01 6.500571232834507773e-01
2.849999999999999756e-01 6.452330094754386014e-01
2.859999999999999765e-01 6.404814764493006463e-01
2.869999999999999774e-01 6.357973586777003749e-01
2.879999999999999782e-01 6.311818777777778999e-01
2.889999999999999791e-01 6.266320599048444961e-01
2.899999999999999800e-01 6.221470614068966842e-01
2.909999999999999809e-01 6.177260522491410111e-01
2.919999999999999818e-01 6.133661661113013475e-01
2.929999999999999827e-01 6.090686705273038459e-01
2.939999999999999836e-01 6.048287177295917916e-01
2.949999999999999845e-01 6.006476101694916414e-01
2.959999999999999853e-01 5.965226048125000791e-01
2.969999999999999862e-01 5.924550059410773617e-01
2.979999999999999871e-01 5.884401262818791389e-01
2.989999999999999880e-01 5.844793016739130431e-01
2.999999999999999889e-01 5.805718707266667167e-01
3.009999999999999898e-01 5.767152247242526286e-01
3.019999999999999907e-01 5.729087516572848315e-01
3.029999999999999916e-01 5.691518487937293758e-01
3.039999999999999925e-01 5.654439225263158120e-01
3.049999999999999933e-01 5.617824688934426325e-01
3.059999999999999942e-01 5.581688500408497067e-01
3.069999999999999951e-01 5.546005977605862336e-01
3.079999999999999960e-01 5.510771805600649387e-01
3.089999999999999969e-01 5.475961921618122119e-01
3.099999999999999978e-01 5.441590171758065031e-01
3.109999999999999987e-01 5.407651470160771412e-01
3.119999999999999996e-01 5.374122245192307634e-01
3.130000000000000004e-01 5.340997819952076897e-01
3.140000000000000013e-01 5.308273584856688654e-01
3.150000000000000022e-01 5.275944996571428902e-01
3.160000000000000031e-01 5.243989358876581797e-01
3.170000000000000040e-01 5.212438777539433188e-01
3.180000000000000049e-01 5.181234495849056376e-01
3.190000000000000058e-01 5.150408656567397880e-01
