# Energy/B2 CrossSection/a^2
7.540000000000000036e+00 3.185330602813795189e-04
7.559999999999999609e+00 4.165553333452114994e-04
7.580000000000000071e+00 4.538526674390887293e-04
7.599999999999999645e+00 4.639922331108419754e-04
7.620000000000000107e+00 4.601960041117658423e-04
7.639999999999999680e+00 4.494669769774830540e-04
7.660000000000000142e+00 4.354151164346059121e-04
7.679999999999999716e+00 4.199635080258851713e-04
7.700000000000000178e+00 4.040803712947315805e-04
7.719999999999999751e+00 3.883278110068530344e-04
7.740000000000000213e+00 3.729764274683617211e-04
7.759999999999999787e+00 3.581473897482175439e-04
7.780000000000000249e+00 3.438493250256965364e-04
7.799999999999999822e+00 3.299786624745745236e-04
7.820000000000000284e+00 3.164506578222146360e-04
7.839999999999999858e+00 3.030923512449582805e-04
7.860000000000000320e+00 2.897877034544114839e-04
7.879999999999999893e+00 2.764025159303013304e-04
7.900000000000000355e+00 2.628379142762053938e-04
7.919999999999999929e+00 2.490382660729754840e-04
7.940000000000000391e+00 2.349511729824572774e-04
7.959999999999999964e+00 2.205837228032943482e-04
7.980000000000000426e+00 2.059788048471044620e-04
8.000000000000000000e+00 1.911860760030089897e-04
8.019999999999999574e+00 1.763260669576200096e-04
8.039999999999999147e+00 1.615155268664116245e-04
8.060000000000000497e+00 1.469175327959815311e-04
8.080000000000000071e+00 1.327141485111228638e-04
8.099999999999999645e+00 1.191155821693710607e-04
8.119999999999999218e+00 1.063690999774500494e-04
8.140000000000000568e+00 9.476075826463105074e-05
8.160000000000000142e+00 8.460802355121506922e-05
8.179999999999999716e+00 7.630405662443253941e-05
8.199999999999999289e+00 7.030603665978585771e-05
8.220000000000000639e+00 6.719848519578975764e-05
8.240000000000000213e+00 6.771557003837447926e-05
8.259999999999999787e+00 7.281540972142107023e-05
8.279999999999999361e+00 8.380831818671896486e-05
8.300000000000000711e+00 1.025039650052743021e-04
8.320000000000000284e+00 1.315138826893979596e-04
8.339999999999999858e+00 1.747790460788205161e-04
8.359999999999999432e+00 2.384741641918411339e-04
8.380000000000000782e+00 3.329442284460423047e-04
8.400000000000000355e+00 4.770271600351629494e-04
8.419999999999999929e+00 7.091369508061675991e-04
8.439999999999999503e+00 1.123612371818552688e-03
8.460000000000000853e+00 2.040826777043936498e-03
8.480000000000000426e+00 5.871540468096383449e-03
8.500000000000000000e+00 9.236560253677363400e-03
8.519999999999999574e+00 7.883841826965824751e-03
8.539999999999999147e+00 7.419462642162342331e-03
8.560000000000000497e+00 5.170395294388364753e-03
8.580000000000000071e+00 3.901656636680273481e-03
8.599999999999999645e+00 3.507270442954413866e-03
8.619999999999999218e+00 3.514177229677590587e-03
8.640000000000000568e+00 3.604232819871219708e-03
8.660000000000000142e+00 3.689927526804856646e-03
8.679999999999999716e+00 3.788639096730880146e-03
8.699999999999999289e+00 3.924291272598641467e-03
8.720000000000000639e+00 4.112230978574561366e-03
8.740000000000000213e+00 4.362469657301021667e-03
8.759999999999999787e+00 4.680620671529447420e-03
8.779999999999999361e+00 5.066562780660098346e-03
8.800000000000000711e+00 5.512453153460623173e-03
8.820000000000000284e+00 6.002782842248080217e-03
8.839999999999999858e+00 6.515787158979684766e-03
8.859999999999999432e+00 7.025912198253355181e-03
8.880000000000000782e+00 7.506515622225921891e-03
8.900000000000000355e+00 7.933424126574894347e-03
8.919999999999999929e+00 8.288346505798849240e-03
8.939999999999999503e+00 8.561724913314007479e-03
8.960000000000000853e+00 8.754021813560977985e-03
8.980000000000000426e+00 8.875033082494376835e-03
