# Energy/B2 CrossSection/a^2
1.818636363636363606e+00 3.867891223567918146e+00
1.823181818181818015e+00 3.782187766118058292e+00
1.827727272727272645e+00 3.721189914901839035e+00
1.832272727272727053e+00 3.670681579794297988e+00
1.836818181818181905e+00 3.626464802951768984e+00
1.841363636363636314e+00 3.586576465693561921e+00
1.845909090909090722e+00 3.549889149553699053e+00
1.850454545454545130e+00 3.515722608609901823e+00
1.854999999999999982e+00 3.483613890124687362e+00
1.859545454545454390e+00 3.453229157535309568e+00
1.864090909090909021e+00 3.424315648663418088e+00
1.868636363636363429e+00 3.396662803621187887e+00
1.873181818181818281e+00 3.370129753775315873e+00
1.877727272727272689e+00 3.344585922866071925e+00
1.882272727272727098e+00 3.319946384066019274e+00
1.886818181818181506e+00 3.296113777262589029e+00
1.891363636363635914e+00 3.273021014705296494e+00
1.895909090909090766e+00 3.250609388649459586e+00
1.900454545454545396e+00 3.228821333843457708e+00
1.904999999999999805e+00 3.207614338713491886e+00
1.909545454545454213e+00 3.186939736666271283e+00
1.914090909090909065e+00 3.166770507148129354e+00
1.918636363636363473e+00 3.147073230479564110e+00
1.923181818181817881e+00 3.127821939396218998e+00
1.927727272727272512e+00 3.108984287773514765e+00
1.932272727272727364e+00 3.090548894677666247e+00
1.936818181818181772e+00 3.072484246825205378e+00
1.941363636363636180e+00 3.054779600328118239e+00
1.945909090909090589e+00 3.037410946474777163e+00
1.950454545454545441e+00 3.020368055578560362e+00
1.954999999999999849e+00 3.003627525109049401e+00
1.959545454545454257e+00 2.987186250741881377e+00
1.964090909090908887e+00 2.971027943245063252e+00
1.968636363636363740e+00 2.955136565376085933e+00
1.973181818181818148e+00 2.939509458983414092e+00
1.977727272727272556e+00 2.924130921681741491e+00
1.982272727272726964e+00 2.908992004379905794e+00
1.986818181818181817e+00 2.894083890507325840e+00
1.991363636363636225e+00 2.879404362627170588e+00
1.995909090909090855e+00 2.864938342573037922e+00
2.000454545454545041e+00 2.850683816075436638e+00
2.004999999999999449e+00 2.836625997221454032e+00
2.009545454545454302e+00 2.822769441108558652e+00
2.014090909090909154e+00 2.809105928096556237e+00
2.018636363636363562e+00 2.795621021715643639e+00
2.023181818181817970e+00 2.782319415460591472e+00
2.027727272727272823e+00 2.769186872682690037e+00
2.032272727272727231e+00 2.756228150192419957e+00
2.036818181818181639e+00 2.743429204475718475e+00
2.041363636363636047e+00 2.730788628720533406e+00
2.045909090909090899e+00 2.718311235274560200e+00
2.050454545454545308e+00 2.705977046043769096e+00
2.054999999999999716e+00 2.693790990750568159e+00
2.059545454545454124e+00 2.681751791643925742e+00
2.064090909090908976e+00 2.669852067121671446e+00
2.068636363636363384e+00 2.658084531597852518e+00
2.073181818181817793e+00 2.646454151526236309e+00
2.077727272727272645e+00 2.634953708419915497e+00
2.082272727272727497e+00 2.623582115616158728e+00
2.086818181818181905e+00 2.612332279013687586e+00
2.091363636363636314e+00 2.601209195361198212e+00
2.095909090909090722e+00 2.590199851810323306e+00
2.100454545454545574e+00 2.579309286784952526e+00
2.104999999999999982e+00 2.568530586394379256e+00
2.109545454545454390e+00 2.557868771850012379e+00
2.114090909090908799e+00 2.547311081676397748e+00
2.118636363636363207e+00 2.536862575374360773e+00
2.123181818181818059e+00 2.526522378673650593e+00
2.127727272727272467e+00 2.516283775690302704e+00
2.132272727272726875e+00 2.506140132040744817e+00
2.136818181818181284e+00 2.496102338971700085e+00
2.141363636363636136e+00 2.486163760912921905e+00
2.145909090909090988e+00 2.476317841867704317e+00
2.150454545454545396e+00 2.466563866329651411e+00
2.154999999999999805e+00 2.456901126118730794e+00
2.159545454545454657e+00 2.447328920304174815e+00
2.164090909090909065e+00 2.437846555128346804e+00
2.168636363636363473e+00 2.428453343931564312e+00
2.173181818181817881e+00 2.419142930320800744e+00
2.177727272727272734e+00 2.409920351855660670e+00
2.182272727272727142e+00 2.400773655609730994e+00
2.186818181818181550e+00 2.391713535003427982e+00
2.191363636363635958e+00 2.382733726226126336e+00
2.195909090909090811e+00 2.373833631438672320e+00
2.200454545454545219e+00 2.365007080720367139e+00
2.204999999999999627e+00 2.356259098101384453e+00
2.209545454545454479e+00 2.347583556986324815e+00
2.214090909090909332e+00 2.338979930019955411e+00
2.218636363636363740e+00 2.330453209221664768e+00
2.223181818181818148e+00 2.321997331596239000e+00
2.227727272727272556e+00 2.313611785022322120e+00
2.232272727272726964e+00 2.305296062250072442e+00
2.236818181818181817e+00 2.297049660851663955e+00
2.241363636363636225e+00 2.288872083172394323e+00
2.245909090909090633e+00 2.280757414263300475e+00
2.250454545454545041e+00 2.272705210997617797e+00
2.254999999999999893e+00 2.264725818339227814e+00
2.259545454545454302e+00 2.256802580593820995e+00
2.264090909090908710e+00 2.248945836325900061e+00
2.268636363636363118e+00 2.241149766907649443e+00
2.273181818181817970e+00 2.233413949622374606e+00
2.277727272727272378e+00 2.225743284282778234e+00
2.282272727272727231e+00 2.218126704080539913e+00
2.286818181818181639e+00 2.210569130902665602e+00
2.291363636363636491e+00 2.203070157207349666e+00
2.295909090909090899e+00 2.195629379153038130e+00
2.300454545454545308e+00 2.188241148990617724e+00
2.304999999999999716e+00 2.180915579271291094e+00
2.309545454545454568e+00 2.173636575959780437e+00
2.314090909090908976e+00 2.166419450215399944e+00
2.318636363636363384e+00 2.159248197863931740e+00
2.323181818181817793e+00 2.152132875210170937e+00
2.327727272727272645e+00 2.145073102557760958e+00
2.332272727272727053e+00 2.138058200535345676e+00
2.336818181818181461e+00 2.131098152925200218e+00
2.341363636363635869e+00 2.124187464879196519e+00
2.345909090909090722e+00 2.117325809422321292e+00
2.350454545454545574e+00 2.110517960825023742e+00
2.354999999999999982e+00 2.103753387801671870e+00
2.359545454545454390e+00 2.097036883358006421e+00
2.364090909090908799e+00 2.090368131655830908e+00
2.368636363636363651e+00 2.083746819574669118e+00
2.373181818181818059e+00 2.077167602979705929e+00
2.377727272727272467e+00 2.070640254241586931e+00
2.382272727272726875e+00 2.064154413407742084e+00
2.386818181818181728e+00 2.057714811459965709e+00
2.391363636363636136e+00 2.051316165034556604e+00
2.395909090909090544e+00 2.044963184681720669e+00
2.400454545454544952e+00 2.038655575166575584e+00
2.404999999999999805e+00 2.032388097669699523e+00
2.409545454545454213e+00 2.026160498688111655e+00
2.414090909090909065e+00 2.019977448471509618e+00
2.418636363636363473e+00 2.013833751731904265e+00
2.423181818181818326e+00 2.007734058842208569e+00
2.427727272727272734e+00 2.001673203164623160e+00
2.432272727272727142e+00 1.995650941734657957e+00
2.436818181818181550e+00 1.989667033561027809e+00
2.441363636363636402e+00 1.983726089606560938e+00
2.445909090909090811e+00 1.977822999319156727e+00
2.450454545454545219e+00 1.971957527701432289e+00
2.454999999999999627e+00 1.966129441655592558e+00
2.459545454545454035e+00 1.960338509965879883e+00
2.464090909090908887e+00 1.954584503281215691e+00
2.468636363636363296e+00 1.948871974673183294e+00
2.473181818181817704e+00 1.943191125957092424e+00
2.477727272727272556e+00 1.937546525269361108e+00
2.482272727272727408e+00 1.931937950547506944e+00
2.486818181818181817e+00 1.926365181509760882e+00
2.491363636363636225e+00 1.920827999638824224e+00
2.495909090909090633e+00 1.915326188165798804e+00
2.500454545454545485e+00 1.909859532054300812e+00
2.504999999999999893e+00 1.904423126660520493e+00
2.509545454545454302e+00 1.899021473489369338e+00
2.514090909090908710e+00 1.893654362438309535e+00
2.518636363636363562e+00 1.888321585076683240e+00
2.523181818181817970e+00 1.883022934630656398e+00
2.527727272727272378e+00 1.877753568597965161e+00
2.532272727272726787e+00 1.872517942093890220e+00
2.536818181818181639e+00 1.867311236896259441e+00
2.541363636363636047e+00 1.862137889752062403e+00
2.545909090909090899e+00 1.856997701624209629e+00
2.550454545454545308e+00 1.851885890295120296e+00
2.555000000000000160e+00 1.846806865336747761e+00
2.559545454545454568e+00 1.841760432225296729e+00
2.564090909090908976e+00 1.836741844158376047e+00
2.568636363636363384e+00 1.831750940295263641e+00
2.573181818181817793e+00 1.826792094423614010e+00
2.577727272727272645e+00 1.821865117750243401e+00
2.582272727272727053e+00 1.816960796458557015e+00
2.586818181818181461e+00 1.812092514487421369e+00
2.591363636363635869e+00 1.807251070706476836e+00
2.595909090909090722e+00 1.802436311755656995e+00
2.600454545454545130e+00 1.797652558891859265e+00
2.604999999999999538e+00 1.792895167894234865e+00
2.609545454545454390e+00 1.788163988926141146e+00
2.614090909090909243e+00 1.783463317410457716e+00
2.618636363636363651e+00 1.778788542197699662e+00
2.623181818181818059e+00 1.774139516882073719e+00
2.627727272727272467e+00 1.769520511380885841e+00
2.632272727272727320e+00 1.764926947100917465e+00
2.636818181818181728e+00 1.760363077184036174e+00
2.641363636363636136e+00 1.755819957747255744e+00
2.645909090909090544e+00 1.751306230867438085e+00
2.650454545454545396e+00 1.746817360527697316e+00
2.654999999999999805e+00 1.742357566604904040e+00
2.659545454545454213e+00 1.737917984718762909e+00
2.664090909090908621e+00 1.733507186242506659e+00
2.668636363636363473e+00 1.729125007841318507e+00
2.673181818181817881e+00 1.724762643765458181e+00
2.677727272727272734e+00 1.720424300498912595e+00
2.682272727272727142e+00 1.716114149002080591e+00
2.686818181818181550e+00 1.711827735827542218e+00
2.691363636363636402e+00 1.707564930309491302e+00
2.695909090909090811e+00 1.703329879477261555e+00
2.700454545454545219e+00 1.699113892157009920e+00
2.704999999999999627e+00 1.694925385189131495e+00
2.709545454545454479e+00 1.690755704810426252e+00
2.714090909090908887e+00 1.686613234299538355e+00
2.718636363636363296e+00 1.682493589656130606e+00
2.723181818181817704e+00 1.678400870814575008e+00
2.727727272727272556e+00 1.674326497875491482e+00
2.732272727272726964e+00 1.670274581233564426e+00
2.736818181818181372e+00 1.666249197656282099e+00
2.741363636363636225e+00 1.662241821623816396e+00
2.745909090909091077e+00 1.658260721396658921e+00
2.750454545454545485e+00 1.654301580025028029e+00
2.754999999999999893e+00 1.650364279614793483e+00
2.759545454545454302e+00 1.646448703111539125e+00
2.764090909090909154e+00 1.642554734293656393e+00
2.768636363636363562e+00 1.638686397114203386e+00
2.773181818181817970e+00 1.634835290042755185e+00
2.777727272727272378e+00 1.631005446958113225e+00
2.782272727272727231e+00 1.627200869598281807e+00
2.786818181818181639e+00 1.623413208266952346e+00
2.791363636363636047e+00 1.619650572924623777e+00
2.795909090909090455e+00 1.615908738405320344e+00
2.800454545454544864e+00 1.612187595018568009e+00
2.804999999999999716e+00 1.608482959486854158e+00
2.809545454545454124e+00 1.604802880336259951e+00
2.814090909090908976e+00 1.601143167823434021e+00
2.818636363636363384e+00 1.597503715312523775e+00
2.823181818181818237e+00 1.593888459663157731e+00
2.827727272727272645e+00 1.590289202421539150e+00
2.832272727272727053e+00 1.586709889775251847e+00
2.836818181818181461e+00 1.583150418045534691e+00
2.841363636363636314e+00 1.579614695985321227e+00
2.845909090909090722e+00 1.576094590271058360e+00
2.850454545454545130e+00 1.572598015195090682e+00
2.854999999999999538e+00 1.569120858338675761e+00
2.859545454545454390e+00 1.565659038457420493e+00
2.864090909090908799e+00 1.562220426235416237e+00
2.868636363636363207e+00 1.558800934248537606e+00
2.873181818181817615e+00 1.555400464556543350e+00
2.877727272727272467e+00 1.552018919898351168e+00
2.882272727272727320e+00 1.548656203686677335e+00
2.886818181818181728e+00 1.545312220002735382e+00
2.891363636363636136e+00 1.541990802813095751e+00
2.895909090909090988e+00 1.538683991779054461e+00
2.900454545454545396e+00 1.535399544173941644e+00
2.904999999999999805e+00 1.532133437576856938e+00
2.909545454545454213e+00 1.528881679185435605e+00
2.914090909090908621e+00 1.525651984732968813e+00
2.918636363636363473e+00 1.522440355492555630e+00
2.923181818181817881e+00 1.519246700804097738e+00
2.927727272727272290e+00 1.516074802422129997e+00
2.932272727272726698e+00 1.512916820308314758e+00
2.936818181818181550e+00 1.509780402274397471e+00
2.941363636363635958e+00 1.506657737626763360e+00
2.945909090909090811e+00 1.503556447389831963e+00
2.950454545454545219e+00 1.500476423856830221e+00
2.955000000000000071e+00 1.497409899927026666e+00
2.959545454545454479e+00 1.494360633740718036e+00
2.964090909090908887e+00 1.491332356601108522e+00
2.968636363636363296e+00 1.488321153955596055e+00
2.973181818181818148e+00 1.485326941913638565e+00
2.977727272727272556e+00 1.482349637155258915e+00
2.982272727272726964e+00 1.479392946454840985e+00
2.986818181818181372e+00 1.476452984789435874e+00
2.991363636363636225e+00 1.473529670614495357e+00
2.995909090909090633e+00 1.470622922938332078e+00
3.000454545454545041e+00 1.467736424433481179e+00
3.004999999999999449e+00 1.464866319030062369e+00
3.009545454545454302e+00 1.462012527458010913e+00
3.014090909090909154e+00 1.459178714614742578e+00
3.018636363636363562e+00 1.456361045795043108e+00
3.023181818181817970e+00 1.453559443410984864e+00
3.027727272727272378e+00 1.450777554821624848e+00
3.032272727272727231e+00 1.448011566369244107e+00
3.036818181818181639e+00 1.445265113882627350e+00
3.041363636363636047e+00 1.442530692097603318e+00
3.045909090909090455e+00 1.439819342651139422e+00
3.050454545454545308e+00 1.437123567748614272e+00
3.054999999999999716e+00 1.434443293635403016e+00
3.059545454545454124e+00 1.431782127723435272e+00
3.064090909090908532e+00 1.429136304306494853e+00
3.068636363636363384e+00 1.426509419628943398e+00
3.073181818181817793e+00 1.423901383763403805e+00
3.077727272727272645e+00 1.421308451099630998e+00
