# Energy CrossSection
2.230000000000000038e-01 6.968751616367713231e-02
2.240000000000000047e-01 2.737047527700893212e-01
2.250000000000000056e-01 3.372412263200000315e-01
2.260000000000000064e-01 3.281460970707965052e-01
2.270000000000000073e-01 1.998667685022026408e-01
2.280000000000000082e-01 2.972003908442982234e-01
2.290000000000000091e-01 2.494723914604803028e+00
2.300000000000000100e-01 1.466016951306521765e+00
2.310000000000000109e-01 1.242273780787878534e+00
2.320000000000000118e-01 1.149067270450431222e+00
2.330000000000000127e-01 1.095083220774677901e+00
2.340000000000000135e-01 1.054773746326922890e+00
2.349999999999999867e-01 1.018152973617021395e+00
2.359999999999999876e-01 9.803699587203390520e-01
2.369999999999999885e-01 9.386547481540084004e-01
2.379999999999999893e-01 8.911672222878150862e-01
2.389999999999999902e-01 8.365540711820084185e-01
2.399999999999999911e-01 7.737424852687501131e-01
2.409999999999999920e-01 7.019067408796679786e-01
2.419999999999999929e-01 6.205239519194216680e-01
2.429999999999999938e-01 5.295877989218108484e-01
2.439999999999999947e-01 4.299775431168033069e-01
2.449999999999999956e-01 3.241545423755102240e-01
2.459999999999999964e-01 2.173167564959349596e-01
2.469999999999999973e-01 1.192973747388664102e-01
2.479999999999999982e-01 4.742658039516129548e-02
2.489999999999999991e-01 3.034001285140562609e-02
2.500000000000000000e-01 1.114571455220000062e-01
2.510000000000000009e-01 3.479841710139442434e-01
2.520000000000000018e-01 7.970538017857142776e-01
2.530000000000000027e-01 1.481797899636363658e+00
2.540000000000000036e-01 2.350139588062992058e+00
2.550000000000000044e-01 3.270265399625490232e+00
2.560000000000000053e-01 4.090488188281249826e+00
2.570000000000000062e-01 4.715165572178987574e+00
2.580000000000000071e-01 5.128133920001937796e+00
2.590000000000000080e-01 5.364592652666022587e+00
2.600000000000000089e-01 5.474704437692307302e+00
2.610000000000000098e-01 5.502905215517240656e+00
2.620000000000000107e-01 5.481843540612596044e+00
2.630000000000000115e-01 5.433267001946767039e+00
2.640000000000000124e-01 5.370907500047347405e+00
2.650000000000000133e-01 5.303104800007547581e+00
2.660000000000000142e-01 5.234768378949247847e+00
2.670000000000000151e-01 5.168665185440074694e+00
2.680000000000000160e-01 5.106268562268656552e+00
2.690000000000000169e-01 5.048265101042749947e+00
2.700000000000000178e-01 4.994897304149999329e+00
2.710000000000000187e-01 4.946114132784132700e+00
2.720000000000000195e-01 4.901737680029411237e+00
2.730000000000000204e-01 4.861502962507326053e+00
2.740000000000000213e-01 4.825107539359488662e+00
2.750000000000000222e-01 4.792265010916363366e+00
2.760000000000000231e-01 4.762668637480072853e+00
2.770000000000000240e-01 4.736043750947652953e+00
2.780000000000000249e-01 4.712134695368704662e+00
2.790000000000000258e-01 4.690703829684586879e+00
2.800000000000000266e-01 4.671530644516071362e+00
2.810000000000000275e-01 4.654422492741993267e+00
2.819999999999999729e-01 4.639202232214540089e+00
2.829999999999999738e-01 4.625701923606007071e+00
2.839999999999999747e-01 4.613785202281690090e+00
2.849999999999999756e-01 4.603312464849123486e+00
2.859999999999999765e-01 4.594174728846154743e+00
2.869999999999999774e-01 4.586259128926830186e+00
2.879999999999999782e-01 4.579477026694443786e+00
2.889999999999999791e-01 4.573729838062283726e+00
2.899999999999999800e-01 4.568948342484484115e+00
2.909999999999999809e-01 4.565053058666666885e+00
2.919999999999999818e-01 4.561993412878424969e+00
2.929999999999999827e-01 4.559697174744028025e+00
2.939999999999999836e-01 4.558115165185374629e+00
2.949999999999999845e-01 4.557198758644067205e+00
2.959999999999999853e-01 4.556910939569257302e+00
2.969999999999999862e-01 4.557198473941078021e+00
2.979999999999999871e-01 4.558036260510067272e+00
2.989999999999999880e-01 4.559388425846154114e+00
2.999999999999999889e-01 4.561219417081666450e+00
3.009999999999999898e-01 4.563504992573090391e+00
3.019999999999999907e-01 4.566215628875827548e+00
3.029999999999999916e-01 4.569338510509901141e+00
3.039999999999999925e-01 4.572839015725328693e+00
3.049999999999999933e-01 4.576704669221311583e+00
3.059999999999999942e-01 4.580912166080065795e+00
3.069999999999999951e-01 4.585454755856678055e+00
3.079999999999999960e-01 4.590303925365258664e+00
3.089999999999999969e-01 4.595458595443365546e+00
3.099999999999999978e-01 4.600895936130646291e+00
3.109999999999999987e-01 4.606609573519292233e+00
3.119999999999999996e-01 4.612587752826923015e+00
3.130000000000000004e-01 4.618818793667732514e+00
3.140000000000000013e-01 4.625291085937897506e+00
3.150000000000000022e-01 4.632003932014286285e+00
3.160000000000000031e-01 4.638940405077532247e+00
3.170000000000000040e-01 4.646099899194006788e+00
3.180000000000000049e-01 4.653471011322326767e+00
3.190000000000000058e-01 4.661053205092475338e+00
3.200000000000000067e-01 4.668840562499999791e+00
3.210000000000000075e-01 4.676821802623052804e+00
3.220000000000000084e-01 4.684996481492236242e+00
3.230000000000000093e-01 4.693364172013930968e+00
3.240000000000000102e-01 4.701913688888888387e+00
3.250000000000000111e-01 4.710644657778461308e+00
3.260000000000000120e-01 4.719551338036810151e+00
3.270000000000000129e-01 4.728638771377675631e+00
3.280000000000000138e-01 4.737895876464938816e+00
3.290000000000000147e-01 4.747327724803951376e+00
3.300000000000000155e-01 4.756928650690909421e+00
3.310000000000000164e-01 4.766693011735648966e+00
3.320000000000000173e-01 4.776625916025602159e+00
3.330000000000000182e-01 4.786727111405404855e+00
3.340000000000000191e-01 4.796985638323352674e+00
3.350000000000000200e-01 4.807411995559701445e+00
3.360000000000000209e-01 4.817995254287201767e+00
3.370000000000000218e-01 4.828740572476260873e+00
3.380000000000000226e-01 4.839653110301775030e+00
3.390000000000000235e-01 4.850721982306784419e+00
3.400000000000000244e-01 4.861952370847058447e+00
3.410000000000000253e-01 4.873338768681817257e+00
3.420000000000000262e-01 4.884891718668127325e+00
3.430000000000000271e-01 4.896605731383382398e+00
3.439999999999999725e-01 4.908480674768895824e+00
3.449999999999999734e-01 4.920516426123188403e+00
3.459999999999999742e-01 4.932718211705202194e+00
3.469999999999999751e-01 4.945080585338617496e+00
3.479999999999999760e-01 4.957608789656609005e+00
3.489999999999999769e-01 4.970302735822349938e+00
3.499999999999999778e-01 4.983167680470000249e+00
3.509999999999999787e-01 4.996198215625356376e+00
3.519999999999999796e-01 5.009394280090909035e+00
3.529999999999999805e-01 5.022766490657224914e+00
3.539999999999999813e-01 5.036309467322034550e+00
3.549999999999999822e-01 5.050023174811267168e+00
3.559999999999999831e-01 5.063918254387639983e+00
3.569999999999999840e-01 5.077984020845939028e+00
3.579999999999999849e-01 5.092236467208101303e+00
3.589999999999999858e-01 5.106664927422005285e+00
3.599999999999999867e-01 5.121274746001389211e+00
3.609999999999999876e-01 5.136071277562327175e+00
3.619999999999999885e-01 5.151054552950276921e+00
3.629999999999999893e-01 5.166229947966942682e+00
3.639999999999999902e-01 5.181592178880494615e+00
3.649999999999999911e-01 5.197151978631507241e+00
3.659999999999999920e-01 5.212909421311475278e+00
3.669999999999999929e-01 5.228859253309264155e+00
3.679999999999999938e-01 5.245012244543477919e+00
3.689999999999999947e-01 5.261373842867208772e+00
3.699999999999999956e-01 5.277938828762162693e+00
3.709999999999999964e-01 5.294712673747977938e+00
3.719999999999999973e-01 5.311700865053763820e+00
3.729999999999999982e-01 5.328898215683645745e+00
3.739999999999999991e-01 5.346320931342246396e+00
3.750000000000000000e-01 0.000000000000000000e+00
3.760000000000000009e-01 0.000000000000000000e+00
3.770000000000000018e-01 0.000000000000000000e+00
3.780000000000000027e-01 0.000000000000000000e+00
3.790000000000000036e-01 0.000000000000000000e+00
3.800000000000000044e-01 0.000000000000000000e+00
3.810000000000000053e-01 0.000000000000000000e+00
3.820000000000000062e-01 0.000000000000000000e+00
3.830000000000000071e-01 0.000000000000000000e+00
3.840000000000000080e-01 0.000000000000000000e+00
3.850000000000000089e-01 0.000000000000000000e+00
3.860000000000000098e-01 0.000000000000000000e+00
3.870000000000000107e-01 0.000000000000000000e+00
3.880000000000000115e-01 0.000000000000000000e+00
3.890000000000000124e-01 0.000000000000000000e+00
3.900000000000000133e-01 0.000000000000000000e+00
3.910000000000000142e-01 0.000000000000000000e+00
3.920000000000000151e-01 0.000000000000000000e+00
3.930000000000000160e-01 0.000000000000000000e+00
3.940000000000000169e-01 0.000000000000000000e+00
3.950000000000000178e-01 0.000000000000000000e+00
3.960000000000000187e-01 0.000000000000000000e+00
3.970000000000000195e-01 0.000000000000000000e+00
3.980000000000000204e-01 0.000000000000000000e+00
