#E_tot          E_tot-Eth     Phase(s) scatt. length
  0.05730000   5.10010000 -10.71350000   3.59888769
  0.13230000   5.17510000 -16.17390000   3.63078933
  0.20730000   5.25010000 -20.12140000   3.66400288
  0.28230000   5.32510000 -23.34120000   3.69811055
  0.35730000   5.40010000 -26.10670000   3.73291953
  0.43230000   5.47510000 -28.55210000   3.76831001
  0.50730000   5.55010000 -30.75490000   3.80414503
  0.58230000   5.62510000 -32.76720000   3.84067349
  0.65730000   5.70010000 -34.62510000   3.87807188
  0.73230000   5.77510000 -36.35110000   3.91593694
  0.80730000   5.85010000 -37.96290000   3.95408741
  0.88230000   5.92510000 -39.47770000   3.99287357
  0.95730000   6.00010000 -40.90820000   4.03243160
  1.03230000   6.07510000 -42.26030000   4.07224684
  1.10730000   6.15010000 -43.53850000   4.11183257
  1.18230000   6.22510000 -44.75110000   4.15141829
  1.25730000   6.30010000 -45.90940000   4.19182138
  1.33230000   6.37510000 -47.02330000   4.23380507
  1.40730000   6.45010000 -48.09730000   4.27746337
  1.48230000   6.52510000 -49.13090000   4.32222229
  1.55730000   6.60010000 -50.12100000   4.36714184
  1.63230000   6.67510000 -51.06610000   4.41152904
  1.70730000   6.75010000 -51.96790000   4.45520236
  1.78230000   6.82510000 -52.83180000   4.49861080
  1.85730000   6.90010000 -53.66440000   4.54247118
  1.93230000   6.97510000 -54.47200000   4.58753625
  2.00730000   7.05010000 -55.25890000   4.63430280
  2.08230000   7.12510000 -56.02630000   4.68278965
  2.15730000   7.20010000 -56.77310000   4.73262753
  2.23230000   7.27510000 -57.49690000   4.78319604
  2.30730000   7.35010000 -58.19470000   4.83372373
  2.38230000   7.42510000 -58.86480000   4.88363577
  2.45730000   7.50010000 -59.50670000   4.93255807
  2.53230000   7.57510000 -60.12200000   4.98052283
  2.60730000   7.65010000 -60.71350000   5.02782947
  2.68230000   7.72510000 -61.28530000   5.07509355
  2.75730000   7.80010000 -61.84230000   5.12317159
  2.83230000   7.87510000 -62.38910000   5.17294344
  2.90730000   7.95010000 -62.93060000   5.22544802
  2.98230000   8.02510000 -63.47240000   5.28199532
  3.05730000   8.10010000 -64.02420000   5.34501040
  3.13230000   8.17510000 -64.61880000   5.42284509
  3.20730000   8.25010000 -65.56130000   5.59489930
  3.28230000   8.32510000 -64.59980000   5.29295198
  3.35730000   8.40010000 -65.68220000   5.49926341
  3.43230000   8.47510000 -66.24530000   5.58446175
  3.50730000   8.55010000 -66.74890000   5.65881701
  3.58230000   8.62510000 -67.22330000   5.72960295
  3.65730000   8.70010000 -67.63250000   5.78597188
  3.73230000   8.77510000 -67.35230000   5.64888356
  3.80730000   8.85010000 -61.87290000   4.36546037
  3.88230000   8.92510000 -65.64180000   5.10433913
  3.95730000   9.00010000 -67.16190000   5.43505014
  4.03230000   9.07510000 -67.44420000   5.45931021
  4.10730000   9.15010000 -67.80380000   5.50654538
  4.18230000   9.22510000 -67.87430000   5.47620267
  4.25730000   9.30010000 -67.67450000   5.37396447
  4.33230000   9.37510000 -66.99420000   5.15228922
  4.40730000   9.45010000 -64.99010000   4.64920719
  4.48230000   9.52510000 -54.60430000   3.02683329
  4.55730000   9.60010000 -85.39010000  26.45284658
  4.63230000   9.67510000 -75.82470000   8.37598544
  4.70730000   9.75010000 -73.02110000   6.87354873
  4.78230000   9.82510000 -69.47900000   5.56278812
  4.85730000   9.90010000 -52.69090000   2.71115590
  4.93230000   9.97510000 -75.74410000   8.06943441
  5.00730000  10.05010000 -76.99770000   8.81227835
  5.08230000  10.12510000 -76.72150000   8.55860329
  5.15730000  10.20010000 -76.57070000   8.39721506
  5.23230000  10.27510000 -76.53020000   8.31080472
  5.30730000  10.35010000 -76.56020000   8.27098925
  5.38230000  10.42510000 -76.63940000   8.26367476
  5.45730000  10.50010000 -76.76550000   8.28778294
  5.53230000  10.57510000 -76.88400000   8.30848278
  5.60730000  10.65010000 -77.09170000   8.39023784
  5.68230000  10.72510000 -77.23650000   8.43249715
  5.75730000  10.80010000 -77.83380000   8.80227902
  5.83230000  10.87510000 -79.08870000   9.78058492
  5.90730000  10.95010000 -83.54460000  16.55752760
  5.98230000  11.02510000 -85.28020000  22.54834555
  6.05730000  11.10010000 -77.08580000   8.06875052
  6.13230000  11.17510000 -75.37800000   7.04796260
