#E_tot          E_tot-Eth     Phase(s) scatt. length
  0.00795000   2.22010000  -5.40400000   4.83095807
  0.01795000   2.23010000  -8.11300000   4.84480693
  0.02795000   2.24010000 -10.09880000   4.85087544
  0.03795000   2.25010000 -11.70490000   4.84254850
  0.04795000   2.26010000 -13.14010000   4.85427374
  0.05795000   2.27010000 -14.46110000   4.87805958
  0.06795000   2.28010000 -15.60080000   4.87736820
  0.07795000   2.29010000 -16.64030000   4.87439775
  0.08795000   2.30010000 -17.68200000   4.89470658
  0.09795000   2.31010000 -18.66380000   4.91430221
  0.10795000   2.32010000 -19.45750000   4.89605516
  0.11795000   2.33010000 -20.06420000   4.84242206
  0.12795000   2.34010000 -20.64550000   4.79626874
  0.13795000   2.35010000 -21.37530000   4.79835021
  0.14795000   2.36010000 -22.29080000   4.85287290
  0.15795000   2.37010000 -23.27340000   4.92789254
  0.16795000   2.38010000 -24.13830000   4.97899761
  0.17795000   2.39010000 -24.74600000   4.97521407
  0.18795000   2.40010000 -25.07670000   4.91474729
  0.19795000   2.41010000 -25.23960000   4.82451354
  0.20795000   2.42010000 -25.41640000   4.74479630
  0.21795000   2.43010000 -25.77240000   4.70917387
  0.22795000   2.44010000 -26.38800000   4.73174103
  0.23795000   2.45010000 -27.23870000   4.80525135
  0.24795000   2.46010000 -28.21850000   4.90694543
  0.25795000   2.47010000 -29.17930000   5.00629909
  0.26795000   2.48010000 -29.96980000   5.07244476
  0.27795000   2.49010000 -30.46920000   5.08118231
  0.28795000   2.50010000 -30.61360000   5.02100272
  0.29795000   2.51010000 -30.41320000   4.89671321
  0.30795000   2.52010000 -29.95590000   4.72890513
  0.31795000   2.53010000 -29.38850000   4.54801607
  0.32795000   2.54010000 -28.88030000   4.38570314
  0.33795000   2.55010000 -28.58090000   4.26709999
  0.34795000   2.56010000 -28.58940000   4.20682044
  0.35795000   2.57010000 -28.94350000   4.20885353
  0.36795000   2.58010000 -29.62670000   4.26893087
  0.37795000   2.59010000 -30.58320000   4.37729584
