#E_tot          E_tot-Eth     Phase(s) scatt. length
  0.01919000   6.43500000  -5.65200000   3.25302647
  0.04419000   6.46000000  -8.58490000   3.27002763
  0.06919000   6.48500000 -10.75020000   3.28658163
  0.09419000   6.51000000 -12.55050000   3.30289338
  0.11919000   6.53500000 -14.12470000   3.31890720
  0.14419000   6.56000000 -15.54130000   3.33479052
  0.16919000   6.58500000 -16.83920000   3.35048570
  0.19419000   6.61000000 -18.04360000   3.36604236
  0.21919000   6.63500000 -19.17180000   3.38149942
  0.24419000   6.66000000 -20.23600000   3.39683462
  0.26919000   6.68500000 -21.24550000   3.41206574
  0.29419000   6.71000000 -22.20760000   3.42722716
  0.31919000   6.73500000 -23.12780000   3.44229814
  0.34419000   6.76000000 -24.01070000   3.45729068
  0.36919000   6.78500000 -24.85990000   3.47218603
  0.39419000   6.81000000 -25.67870000   3.48701714
  0.41919000   6.83500000 -26.46970000   3.50178160
  0.44419000   6.86000000 -27.23500000   3.51645979
  0.46919000   6.88500000 -27.97680000   3.53109405
  0.49419000   6.91000000 -28.69670000   3.54567334
  0.51919000   6.93500000 -29.39600000   3.56017373
  0.54419000   6.96000000 -30.07610000   3.57461149
  0.56919000   6.98500000 -30.73820000   3.58899431
  0.59419000   7.01000000 -31.38320000   3.60330449
  0.61919000   7.03500000 -32.01220000   3.61756760
  0.64419000   7.06000000 -32.62590000   3.63176516
  0.66919000   7.08500000 -33.22520000   3.64591768
  0.69419000   7.11000000 -33.81090000   3.66004067
  0.71919000   7.13500000 -34.38350000   3.67411625
  0.74419000   7.16000000 -34.94360000   3.68814768
  0.76919000   7.18500000 -35.49180000   3.70214440
  0.79419000   7.21000000 -36.02860000   3.71610764
  0.81919000   7.23500000 -36.55430000   3.73001635
