#E_tot          E_tot-Eth     Phase(s) scatt. length
  0.01919000   6.43500000  -6.60310000   3.80495994
  0.04419000   6.46000000  -9.99850000   3.81877371
  0.06919000   6.48500000 -12.48300000   3.83227814
  0.09419000   6.51000000 -14.53150000   3.84568147
  0.11919000   6.53500000 -16.30860000   3.85889911
  0.14419000   6.56000000 -17.89550000   3.87204262
  0.16919000   6.58500000 -19.33890000   3.88508655
  0.19419000   6.61000000 -20.66900000   3.89807189
  0.21919000   6.63500000 -21.90640000   3.91099000
  0.24419000   6.66000000 -23.06600000   3.92383747
  0.26919000   6.68500000 -24.15900000   3.93661344
  0.29419000   6.71000000 -25.19430000   3.94935792
  0.31919000   6.73500000 -26.17870000   3.96205300
  0.34419000   6.76000000 -27.11780000   3.97470140
  0.36919000   6.78500000 -28.01610000   3.98728604
  0.39419000   6.81000000 -28.87760000   3.99983296
  0.41919000   6.83500000 -29.70540000   4.01231609
  0.44419000   6.86000000 -30.50250000   4.02477006
  0.46919000   6.88500000 -31.27110000   4.03716084
  0.49419000   6.91000000 -32.01350000   4.04952018
  0.51919000   6.93500000 -32.73140000   4.06182490
  0.54419000   6.96000000 -33.42640000   4.07407010
  0.56919000   6.98500000 -34.10000000   4.08626317
  0.59419000   7.01000000 -34.75350000   4.09840402
  0.61919000   7.03500000 -35.38800000   4.11048192
  0.64419000   7.06000000 -36.00470000   4.12251848
  0.66919000   7.08500000 -36.60460000   4.13451945
  0.69419000   7.11000000 -37.18850000   4.14647325
  0.71919000   7.13500000 -37.75720000   4.15837962
  0.74419000   7.16000000 -38.31170000   4.17027808
  0.76919000   7.18500000 -38.85240000   4.18212693
  0.79419000   7.21000000 -39.38010000   4.19395219
  0.81919000   7.23500000 -39.89530000   4.20574193
