#E_tot          E_tot-Eth     Phase(s) scatt. length
  6.01000000   6.01000000 -31.51370000   1.31497700
  6.03500000   6.03500000 -31.77630000   1.32578550
  6.06000000   6.06000000 -32.04110000   1.33674604
  6.08500000   6.08500000 -32.30730000   1.34781935
  6.11000000   6.11000000 -32.57440000   1.35898127
  6.13500000   6.13500000 -32.84160000   1.37019155
  6.16000000   6.16000000 -33.10840000   1.38142510
  6.18500000   6.18500000 -33.37400000   1.39264055
  6.21000000   6.21000000 -33.63780000   1.40380645
  6.23500000   6.23500000 -33.89900000   1.41488017
  6.26000000   6.26000000 -34.15690000   1.42582369
  6.28500000   6.28500000 -34.41080000   1.43659834
  6.31000000   6.31000000 -34.65970000   1.44714864
  6.33500000   6.33500000 -34.90240000   1.45740736
  6.36000000   6.36000000 -35.13750000   1.46729538
  6.38500000   6.38500000 -35.36210000   1.47665057
  6.41000000   6.41000000 -35.56460000   1.48483210
  6.43500000   6.43500000 -35.84610000   1.49738843
  6.46000000   6.46000000 -36.11530000   1.50933092
  6.48500000   6.48500000 -36.36620000   1.52031759
  6.51000000   6.51000000 -36.60350000   1.53059826
  6.53500000   6.53500000 -36.82890000   1.54025964
  6.56000000   6.56000000 -37.04270000   1.54931158
  6.58500000   6.58500000 -37.24500000   1.55775324
  6.61000000   6.61000000 -37.43580000   1.56557856
  6.63500000   6.63500000 -37.61470000   1.57275916
  6.66000000   6.66000000 -37.78150000   1.57927821
  6.68500000   6.68500000 -37.93590000   1.58511353
  6.71000000   6.71000000 -38.07760000   1.59024335
  6.73500000   6.73500000 -38.20610000   1.59463489
  6.76000000   6.76000000 -38.32120000   1.59827306
  6.78500000   6.78500000 -38.42250000   1.60113194
  6.81000000   6.81000000 -38.50970000   1.60319211
  6.83500000   6.83500000 -38.58260000   1.60444065
  6.86000000   6.86000000 -38.64090000   1.60485984
  6.88500000   6.88500000 -38.68430000   1.60443291
  6.91000000   6.91000000 -38.71260000   1.60314987
  6.93500000   6.93500000 -38.72550000   1.60099609
  6.96000000   6.96000000 -38.72300000   1.59797528
  6.98500000   6.98500000 -38.70500000   1.59408653
  7.01000000   7.01000000 -38.67120000   1.58931871
  7.03500000   7.03500000 -38.62160000   1.58367898
  7.06000000   7.06000000 -38.55630000   1.57718125
  7.08500000   7.08500000 -38.47530000   1.56983479
  7.11000000   7.11000000 -38.37870000   1.56165550
  7.13500000   7.13500000 -38.26660000   1.55266015
  7.16000000   7.16000000 -38.13940000   1.54288298
  7.18500000   7.18500000 -37.99720000   1.53234203
  7.21000000   7.21000000 -37.84040000   1.52107247
  7.23500000   7.23500000 -37.66960000   1.50912049
