#E_tot          E_tot-Eth     Phase(s) scatt. length
  6.01000000   6.01000000 -34.55850000   1.47723523
  6.03500000   6.03500000 -34.63070000   1.47815229
  6.06000000   6.06000000 -34.70290000   1.47907881
  6.08500000   6.08500000 -34.77480000   1.47999819
  6.11000000   6.11000000 -34.84630000   1.48090488
  6.13500000   6.13500000 -34.91740000   1.48179885
  6.16000000   6.16000000 -34.98770000   1.48265802
  6.18500000   6.18500000 -35.05720000   1.48348239
  6.21000000   6.21000000 -35.12550000   1.48424993
  6.23500000   6.23500000 -35.19260000   1.48496064
  6.26000000   6.26000000 -35.25800000   1.48558704
  6.28500000   6.28500000 -35.32140000   1.48611268
  6.31000000   6.31000000 -35.38230000   1.48651016
  6.33500000   6.33500000 -35.43990000   1.48673566
  6.36000000   6.36000000 -35.49300000   1.48672355
  6.38500000   6.38500000 -35.53840000   1.48629871
  6.41000000   6.41000000 -35.56210000   1.48469517
  6.43500000   6.43500000 -35.67310000   1.48788454
  6.46000000   6.46000000 -35.78760000   1.49127606
  6.48500000   6.48500000 -35.89020000   1.49402467
  6.51000000   6.51000000 -35.98650000   1.49643671
  6.53500000   6.53500000 -36.07830000   1.49861060
  6.56000000   6.56000000 -36.16690000   1.50061748
  6.58500000   6.58500000 -36.25280000   1.50248469
  6.61000000   6.61000000 -36.33640000   1.50423408
  6.63500000   6.63500000 -36.41810000   1.50588755
  6.66000000   6.66000000 -36.49830000   1.50746703
  6.68500000   6.68500000 -36.57710000   1.50897798
  6.71000000   6.71000000 -36.65490000   1.51044234
  6.73500000   6.73500000 -36.73190000   1.51187108
  6.76000000   6.76000000 -36.80830000   1.51327518
  6.78500000   6.78500000 -36.88450000   1.51467663
  6.81000000   6.81000000 -36.96060000   1.51608091
  6.83500000   6.83500000 -37.03700000   1.51751002
  6.86000000   6.86000000 -37.11400000   1.51898050
  6.88500000   6.88500000 -37.19180000   1.52050337
  6.91000000   6.91000000 -37.27080000   1.52210068
  6.93500000   6.93500000 -37.35110000   1.52377801
  6.96000000   6.96000000 -37.43310000   1.52555747
  6.98500000   6.98500000 -37.51710000   1.52745574
  7.01000000   7.01000000 -37.60320000   1.52947849
  7.03500000   7.03500000 -37.69170000   1.53164248
  7.06000000   7.06000000 -37.78280000   1.53395902
  7.08500000   7.08500000 -37.87660000   1.53643396
  7.11000000   7.11000000 -37.97350000   1.53908983
  7.13500000   7.13500000 -38.07340000   1.54192157
  7.16000000   7.16000000 -38.17640000   1.54493526
  7.18500000   7.18500000 -38.28270000   1.54814261
  7.21000000   7.21000000 -38.39220000   1.55153879
  7.23500000   7.23500000 -38.50490000   1.55512455
